[WEB | EN | OT | Psalms | Chapter 118 | Verse 1] Give thanks to the LORD, for he is good, for his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 2] Let Israel now say that his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 3] Let the house of Aaron now say that his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 4] Now let those who fear the LORD say that his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 5] Out of my distress, I called on the LORD. The LORD answered me with freedom.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 6] The LORD is on my side. I will not be afraid. What can man do to me?
[WEB | EN | OT | Psalms | Chapter 118 | Verse 7] The LORD is on my side among those who help me. Therefore I will look in triumph at those who hate me.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 8] It is better to take refuge in the LORD, than to put confidence in man.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 9] It is better to take refuge in the LORD, than to put confidence in princes.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 10] All the nations surrounded me, but in the LORD’s name I cut them off.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 11] They surrounded me, yes, they surrounded me. In the LORD’s name I indeed cut them off.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 12] They surrounded me like bees. They are quenched like the burning thorns. In the LORD’s name I cut them off.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 13] You pushed me back hard, to make me fall, but the LORD helped me.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 14] The LORD is my strength and song. He has become my salvation.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 15] The voice of rejoicing and salvation is in the tents of the righteous. “The right hand of the LORD does valiantly.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 16] The right hand of the LORD is exalted! The right hand of the LORD does valiantly!”
[WEB | EN | OT | Psalms | Chapter 118 | Verse 17] I will not die, but live, and declare the LORD’s works.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 18] The LORD has punished me severely, but he has not given me over to death.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 19] Open to me the gates of righteousness. I will enter into them. I will give thanks to the LORD.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 20] This is the gate of the LORD; the righteous will enter into it.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 21] I will give thanks to you, for you have answered me, and have become my salvation.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 22] The stone which the builders rejected has become the cornerstone.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 23] This is the LORD’s doing. It is marvelous in our eyes.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 24] This is the day that the LORD has made. We will rejoice and be glad in it!
[WEB | EN | OT | Psalms | Chapter 118 | Verse 25] Save us now, we beg you, LORD! LORD, we beg you, send prosperity now.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed is he who comes in the LORD’s name! We have blessed you out of the LORD’s house.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 27] The LORD is God, and he has given us light. Bind the sacrifice with cords, even to the horns of the altar.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 28] You are my God, and I will give thanks to you. You are my God, I will exalt you.
[WEB | EN | OT | Psalms | Chapter 118 | Verse 29] Oh give thanks to the LORD, for he is good, for his loving kindness endures forever.
