[WEB | EN | OT | Psalms | Chapter 135 | Verse 1] Praise the LORD! Praise the LORD’s name! Praise him, you servants of the LORD,
[WEB | EN | OT | Psalms | Chapter 135 | Verse 2] you who stand in the LORD’s house, in the courts of our God’s house.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 3] Praise the LORD, for the LORD is good. Sing praises to his name, for that is pleasant.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 4] For the LORD has chosen Jacob for himself, Israel for his own possession.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 5] For I know that the LORD is great, that our Lord is above all gods.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 6] Whatever the LORD pleased, that he has done, in heaven and in earth, in the seas and in all deeps.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 7] He causes the clouds to rise from the ends of the earth. He makes lightnings with the rain. He brings the wind out of his treasuries.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 8] He struck the firstborn of Egypt, both of man and animal.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 9] He sent signs and wonders into the middle of you, Egypt, on Pharaoh, and on all his servants.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 10] He struck many nations, and killed mighty kings—
[WEB | EN | OT | Psalms | Chapter 135 | Verse 11] Sihon king of the Amorites, Og king of Bashan, and all the kingdoms of Canaan—
[WEB | EN | OT | Psalms | Chapter 135 | Verse 12] and gave their land for a heritage, a heritage to Israel, his people.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 13] Your name, LORD, endures forever; your renown, LORD, throughout all generations.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 14] For the LORD will judge his people and have compassion on his servants.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 15] The idols of the nations are silver and gold, the work of men’s hands.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 16] They have mouths, but they can’t speak. They have eyes, but they can’t see.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 17] They have ears, but they can’t hear, neither is there any breath in their mouths.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 18] Those who make them will be like them, yes, everyone who trusts in them.
[WEB | EN | OT | Psalms | Chapter 135 | Verse 19] House of Israel, praise the LORD! House of Aaron, praise the LORD!
[WEB | EN | OT | Psalms | Chapter 135 | Verse 20] House of Levi, praise the LORD! You who fear the LORD, praise the LORD!
[WEB | EN | OT | Psalms | Chapter 135 | Verse 21] Blessed be the LORD from Zion, who dwells in Jerusalem. Praise the LORD!
