[KJV | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of his wrath.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 2] He hath led me, and brought me into darkness, but not into light.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 3] Surely against me is he turned; he turneth his hand against me all the day.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 4] My flesh and my skin hath he made old; he hath broken my bones.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 5] He hath builded against me, and compassed me with gall and travail.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 6] He hath set me in dark places, as they that be dead of old.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 7] He hath hedged me about, that I cannot get out: he hath made my chain heavy.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 8] Also when I cry and shout, he shutteth out my prayer.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 9] He hath inclosed my ways with hewn stone, he hath made my paths crooked.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 10] He was unto me as a bear lying in wait, and as a lion in secret places.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 11] He hath turned aside my ways, and pulled me in pieces: he hath made me desolate.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 12] He hath bent his bow, and set me as a mark for the arrow.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 13] He hath caused the arrows of his quiver to enter into my reins.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 14] I was a derision to all my people; and their song all the day.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 15] He hath filled me with bitterness, he hath made me drunken with wormwood.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 16] He hath also broken my teeth with gravel stones, he hath covered me with ashes.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 17] And thou hast removed my soul far off from peace: I forgat prosperity.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 18] And I said, My strength and my hope is perished from the Lord:
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 19] Remembering mine affliction and my misery, the wormwood and the gall.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 20] My soul hath them still in remembrance, and is humbled in me.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 21] This I recall to my mind, therefore have I hope.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 22] It is of the Lord’s mercies that we are not consumed, because his compassions fail not.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 23] They are new every morning: great is thy faithfulness.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 24] The Lord is my portion, saith my soul; therefore will I hope in him.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 25] The Lord is good unto them that wait for him, to the soul that seeketh him.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 26] It is good that a man should both hope and quietly wait for the salvation of the Lord.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 27] It is good for a man that he bear the yoke in his youth.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 28] He sitteth alone and keepeth silence, because he hath borne it upon him.
