[IRV | BN | NT | Mark | Chapter 5 | Verse 1] পরে তাঁরা সমুদ্রের ওপারে গেরাসেনীদের দেশে পৌঁছালেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 2] তিনি নৌকা থেকে বের হলেন তখনি একজন লোক কবরস্থান থেকে তাঁর সামনে আসলো, তাকে মন্দ আত্মায় পেয়েছিল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 3] সে কবর স্থানে বাস করত এবং কেউ তাকে শিকল দিয়েও আর বেঁধে রাখতে পারত না।
[IRV | BN | NT | Mark | Chapter 5 | Verse 4] লোকে বার বার তাকে বেড়ি ও শিকল দিয়ে বাঁধত, কিন্তু সে শিকল ছিঁড়ে ফেলত এবং বেড়ি ভেঙে টুকরো টুকরো করত; কেউ তাকে সামলাতে পারত না।
[IRV | BN | NT | Mark | Chapter 5 | Verse 5] আর সে রাত দিন সবদিন কবরে কবরে ও পর্বতে পর্বতে চিৎকার করে বেড়াত এবং ধারালো পাথর দিয়ে নিজেই নিজের শরীরকে ক্ষতবিক্ষত করত।
[IRV | BN | NT | Mark | Chapter 5 | Verse 6] সে দূর হতে যীশুকে দেখে দৌড়ে আসল এবং তাঁকে প্রণাম করল,
[IRV | BN | NT | Mark | Chapter 5 | Verse 7] খুব জোরে চেঁচিয়ে সে বলল, হে যীশু, মহান সর্বশক্তিমান ঈশ্বরের পুত্র, আপনার সঙ্গে আমার দরকার কি? আমি আপনাকে ঈশ্বরের দিব্যি দিয়ে বলছি, আমাকে যন্ত্রণা দেবেন না।
[IRV | BN | NT | Mark | Chapter 5 | Verse 8] কারণ যীশু তাকে বলেছিলেন, হে মন্দ আত্মা, এই মানুষটির থেকে বের হয়ে যাও।
[IRV | BN | NT | Mark | Chapter 5 | Verse 9] তিনি তাকে জিজ্ঞাসা করলেন, তোমার নাম কি? সে উত্তর দিল, আমার নাম বাহিনী, কারণ আমরা অনেকে আছি।
[IRV | BN | NT | Mark | Chapter 5 | Verse 10] পরে সে অনেক কাকুতি মিনতি করল, যেন তিনি তাদের সেই এলাকা থেকে বের না করে দেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 11] সেই জায়গায় পাহাড়ের পাশে এক শূকরের পাল চরছিল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 12] আর ভূতেরা মিনতি করে বলল, ঐ শূকর পালের মধ্যে ঢুকতে দিন এবং আমাদেরকে পাঠিয়ে দিন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 13] তিনি তাদেরকে অনুমতি দিলেন। তখন সেই মন্দ আত্মারা বের হয়ে শূকরের পালের মধ্যে ঢুকলো; তাতে সেই শূকরপাল খুব জোরে দৌড়িয়ে ঢালু পাড় দিয়ে সমুদ্রে গিয়ে পড়ে ডুবে মরল। সেই পালে কমবেশি দুই হাজার শূকর ছিল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 14] যারা সেই শূকর গুলিকে চরাচ্ছিল, তারা পালিয়ে গিয়ে শহরে ও গ্রামে গ্রামে গিয়ে সংবাদ দিল। তখন কি ঘটেছে, দেখবার জন্য লোকেরা আসলো;
[IRV | BN | NT | Mark | Chapter 5 | Verse 15] তারা যীশুর কাছে আসলো এবং যখন দেখল যে লোকটা ভূতগ্রস্ত সেই লোকটা কাপড় চোপড় পরে সুস্থ মনে বসে আছে; তাতে তারা ভয় পেল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 16] আর ঐ ভূতগ্রস্ত লোকটীর ও শূকর পালের ঘটনা যারা দেখেছিল, তারা লোকদেরকে সব বিষয় বলল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 17] যারা সেখানে এসেছিল তারা নিজেদের এলাকা থেকে চলে যেতে তাঁকে অনুরোধ করতে লাগল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 18] পরে তিনি যখন নৌকায় উঠেছেন, এমন দিন সেই ভূতগ্রস্ত লোকটি এসে তাঁকে অনুরোধ করল, যেন তাঁর সঙ্গে যেতে পারে।
[IRV | BN | NT | Mark | Chapter 5 | Verse 19] কিন্তু তিনি তাকে অনুমতি দিলেন না, বরং বললেন, তুমি বাড়িতে তোমার আত্মীয়দের কাছে যাও এবং ঈশ্বর তোমার জন্য যে যে মহৎ কাজ করেছেন ও তোমার জন্য যে দয়া করেছেন, তা তাদেরকে গিয়ে বল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 20] তখন সে চলে গেল, যীশু তার জন্য যে কত বড় কাজ করেছিলেন, তা দিকাপলিতে প্রচার করতে লাগল; তাতে সবাই আশ্চর্য্য হয়ে গেল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 21] পরে যীশু নৌকায় আবার পার হয়ে ওপর পারে আসলে তাঁর কাছে বহু মানুষের ভিড় হল; তখন তিনি সমুদ্রতীরে ছিলেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 22] আর সমাজের মধ্য থেকে যায়ীর নামে একজন নেতা এসে তাঁকে দেখে তাঁর পায়ে পড়লেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 23] এবং অনেক মিনতি করে বললেন, আমার মেয়েটী মরে যাওয়ার মত হয়েছে, আপনি এসে তার ওপরে আপনার হাত রাখুন, যেন সে সুস্থ হয়ে বেঁচে উঠে।
[IRV | BN | NT | Mark | Chapter 5 | Verse 24] তখন তিনি তাঁর সঙ্গে গেলেন; তখন অনেক লোক তাঁর সঙ্গে সঙ্গে যাচ্ছিল ও তাঁর চারপাশে ঠেলাঠেলি করছিল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 25] আর একটি স্ত্রীলোক বারো বছর ধরে রক্তস্রাব রোগে ভুগছিল,
[IRV | BN | NT | Mark | Chapter 5 | Verse 26] অনেক চিকিত্সকের মাধ্যমে বহু কষ্টভোগ করেছিল এবং তার যা টাকা ছিল সব ব্যয় করেও সুস্থতা পায়নি, বরং আরও অসুস্থ হয়েছিল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 27] সে যীশুর সমন্ধে শুনেছিল ভিড়ের মধ্যে যখন তিনি হাঁটছিলেন তখন তাঁর পিছন দিক থেকে এসে তাঁর কাপড় স্পর্শ করলো।
[IRV | BN | NT | Mark | Chapter 5 | Verse 28] কারণ সে বলল, আমি যদি কেবল ওনার কাপড় ছুঁতে পারি, তবেই সুস্থ হব।
[IRV | BN | NT | Mark | Chapter 5 | Verse 29] যখন সে ছুঁলো, তখনই তার রক্তস্রাব বন্ধ হয়ে গেল এবং নিজের শরীর বুঝতে পারল যে ঐ যন্ত্রণাদায়ক রোগ হতে সে সুস্থ হয়েছে।
[IRV | BN | NT | Mark | Chapter 5 | Verse 30] সঙ্গে সঙ্গে যীশু নিজে মনে জানতে পারলেন যে, তাঁর থেকে শক্তি বের হয়ে গেছে, তাই ভিড়ের মধ্যে মুখ ফিরিয়ে বললেন, কে আমার কাপড় ছুঁয়েছে?
[IRV | BN | NT | Mark | Chapter 5 | Verse 31] তাঁর শিষ্যেরা বললেন, আপনি দেখেছেন, মানুষেরা ঠেলাঠেলি করে আপনার গায়ের ওপরে পড়ছে, আর আপনি বলছেন, কে আমাকে ছুঁলো?
[IRV | BN | NT | Mark | Chapter 5 | Verse 32] কিন্তু কে এটা করেছিল, তাকে দেখবার জন্য তিনি চারদিকে দেখলেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 33] সেই স্ত্রীলোকটী জানত তার জন্য কি ঘটেছে, সে কারণে সে ভয়ে কাঁপতে কাঁপতে তাঁর সামনে এসে শুয়ে পড়ল এবং সব সত্যি ঘটনা তাঁকে বলল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 34] তখন তিনি তাকে বললেন, মেয়ে, তোমার বিশ্বাস তোমাকে সুস্থ করল। শান্তিতে চলে যাও এবং স্বাস্থ্যবান হও ও তোমার রোগ হতে উদ্ধার কর।
[IRV | BN | NT | Mark | Chapter 5 | Verse 35] তিনি যখন এই কথা তাকে বলছেন, এমন দিন সমাজঘরের নেতা যায়ীরের বাড়ি থেকে লোক এসে তাঁকে বলল, আপনার মেয়ে মারা গেছে। গুরুকে আর কেন জ্বালাতন করছ?
[IRV | BN | NT | Mark | Chapter 5 | Verse 36] কিন্তু যীশু তাদের কথা শুনতে পেয়ে সমাজঘরের নেতাকে বললেন, ভয় করো না, শুধুমাত্র বিশ্বাস কর।
[IRV | BN | NT | Mark | Chapter 5 | Verse 37] আর তিনি পিতর, যাকোব এবং যাকোবের ভাই যোহন, এই তিনজন ছাড়া আর কাউকে নিজের সঙ্গে যেতে দিলেন না।
[IRV | BN | NT | Mark | Chapter 5 | Verse 38] পরে তাঁরা সমাজের নেতার বাড়িতে আসলেন, আর তিনি দেখলেন, সেখানে অনেকে মন খারাপ করে বসে আছে এবং লোকেরা খুব চিত্কার করে কাঁদছে ও বিলাপ করছে।
[IRV | BN | NT | Mark | Chapter 5 | Verse 39] তিনি ভিতরে গিয়ে তাদেরকে বললেন, তোমরা চিত্কার করে কাঁদছ কেন? মেয়েটি তো মরে যায় নি, ঘুমিয়ে রয়েছে।
[IRV | BN | NT | Mark | Chapter 5 | Verse 40] তখন তারা তাঁকে ঠাট্টা করল; কিন্তু তিনি সবাইকে বের করে দিয়ে, মেয়েটির বাবা ও মাকে এবং নিজের শিষ্যদের নিয়ে, যেখানে মেয়েটি ছিল সেই ঘরের ভিতরে গেলেন।
[IRV | BN | NT | Mark | Chapter 5 | Verse 41] পরে তিনি মেয়েটির হাত ধরে তাকে বললেন, টালিথা কুমী; অনুবাদ করলে এর মানে হয়, খুকুমনি, তোমাকে বলছি, ওঠ।
[IRV | BN | NT | Mark | Chapter 5 | Verse 42] সঙ্গে সঙ্গে মেয়েটি তখনি উঠে বেড়াতে লাগল, কারণ তার বয়স বারো বছর ছিল। এতে তারা খুব অবাক ও বিস্মিত হল।
[IRV | BN | NT | Mark | Chapter 5 | Verse 43] পরে তিনি তাদেরকে কড়া আজ্ঞা দিলেন, যেন কেউ এটা জানতে না পারে, আর তিনি মেয়েটিকে কিছু খাবার দেবার জন্য বললেন।
