[IRV | BN | NT | Mark | Chapter 1 | Verse 1] যীশু খ্রীষ্টের সুসমাচারের শুরু; তিনি ঈশ্বরের পুত্র।
[IRV | BN | NT | Mark | Chapter 1 | Verse 2] যিশাইয় ভাববাদীর বইতে যেমন লেখা আছে, দেখ, আমি নিজের দূতকে তোমার আগে পাঠাচ্ছি; সে তোমার পথ তৈরী করবে।
[IRV | BN | NT | Mark | Chapter 1 | Verse 3] মরুপ্রান্তে এক জনের কন্ঠস্বর, সে ঘোষণা করছে, তোমরা প্রভুর পথ তৈরী কর, তাঁর রাজপথ সোজা কর,
[IRV | BN | NT | Mark | Chapter 1 | Verse 4] সেইভাবে যোহন হাজির হলেন ও প্রান্তরে বাপ্তিষ্ম দিতে লাগলেন এবং পাপের ক্ষমা, মন পরিবর্তন এবং বাপ্তিষ্মের বিষয় প্রচার করতে লাগলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 5] তাতে সব যিহূদিয়া দেশ ও যিরূশালেমে বসবাসকারী সবাই বের হয়ে তাঁর কাছে যেতে লাগল; আর নিজ নিজ পাপ স্বীকার করে যর্দ্দন নদীতে তাঁর মাধ্যমে বাপ্তিষ্ম নিতে লাগলো।
[IRV | BN | NT | Mark | Chapter 1 | Verse 6] সেই যোহন উটের লোমের কাপড় পরতেন, তাঁর কোমরে চামড়ার কোমরবন্ধন ছিল এবং তিনি পঙ্গপাল ও বনমধু খেতেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 7] তিনি প্রচার করে বলতেন, যিনি আমার থেকে শক্তিমান, তিনি আমার পরে আসছেন; আমি নিচু হয়ে তাঁর জুতোর বাঁধন খোলার যোগ্যও না।
[IRV | BN | NT | Mark | Chapter 1 | Verse 8] আমি তোমাদের জলে বাপ্তিষ্ম দিচ্ছি, কিন্তু তিনি তোমাদের পবিত্র আত্মায় বাপ্তিষ্ম দেবেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 9] সেদিনের যীশু গালীলের নাসরৎ শহর থেকে এসে যোহনের কাছে যর্দ্দন নদীতে বাপ্তিষ্ম নিলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 10] আর সঙ্গে সঙ্গেই জলের মধ্য থেকে উঠবার দিন দেখলেন, আকাশ দুইভাগ হল এবং পবিত্র আত্মা পায়রার মত তাঁর ওপরে নেমে আসছেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 11] আর স্বর্গ থেকে এই বাণী হল, তুমিই আমার প্রিয় পুত্র, তোমাতেই আমি সন্তুষ্ট।
[IRV | BN | NT | Mark | Chapter 1 | Verse 12] আর সেই মুহূর্তে আত্মা তাঁকে প্রান্তরে পাঠিয়ে দিলেন,
[IRV | BN | NT | Mark | Chapter 1 | Verse 13] সেই প্রান্তরে তিনি চল্লিশ দিন থেকে শয়তানের মাধ্যমে পরীক্ষিত হলেন; আর তিনি বন্য পশুদের সঙ্গে থাকলেন এবং স্বর্গীয় দূতগণ তাঁর সেবাযত্ন করতেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 14] আর যোহনকে ধরে জেলখানায় ঢোকানোর পর যীশু গালীলে এসে ঈশ্বরের সুসমাচার প্রচার করে বলতে লাগলেন,
[IRV | BN | NT | Mark | Chapter 1 | Verse 15] “দিন সম্পূর্ণ হয়েছে, ঈশ্বরের রাজ্য কাছে এসে গেছে; তোমরা পাপ থেকে মন ফেরাও ও সুসমাচারে বিশ্বাস কর।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 16] পরে গালীল সমুদ্রের পার দিয়ে যেতে যেতে যীশু দেখলেন, শিমোন ও তাঁর ভাই আন্দ্রিয় সমুদ্রে জাল ফেলছেন, কারণ তাঁরা পেশায় জেলে ছিলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 17] যীশু তাঁদেরকে বললেন, “আমার সঙ্গে এসো,” আমি তোমাদের মানুষ ধরা শেখাব।
[IRV | BN | NT | Mark | Chapter 1 | Verse 18] আর সঙ্গে সঙ্গেই তাঁরা জাল ফেলে দিয়ে তাঁর সঙ্গে গেলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 19] পরে তিনি কিছু আগে গিয়ে সিবদিয়ের ছেলে যাকোব ও তাঁর ভাই যোহনকে দেখতে পেলেন; তাঁরাও নৌকাতে ছিলেন, জাল সরাই করছিলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 20] তিনি তখনই তাঁদেরকে ডাকলেন, তাতে তাঁরা তাদের বাবা সিবদিয়কে বেতনজীবি কর্মচারীদের সঙ্গে নৌকা ছেড়ে যীশুর সঙ্গে চলে গেলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 21] পরে তাঁরা কফরনাহূমে গেলেন আর তখনই তিনি বিশ্রামবারে সমাজঘরে গিয়ে শিক্ষা দিতে লাগলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 22] লোকরা তাঁর শিক্ষায় আশ্চর্য্য হল; কারণ তিনি ক্ষমতাপন্ন ব্যক্তির মত তাদের শিক্ষা দিতেন, ধর্মশিক্ষকের মতো নয়।
