[OEB | EN | NT | Mark | Chapter 12 | Verse 1] Jesus began to speak to them in parables, ‘A man once planted a vineyard, put a fence round it, dug a wine-press, built a tower, and then let it out to tenants and went abroad.
[OEB | EN | NT | Mark | Chapter 12 | Verse 2] At the proper time he sent a servant to the tenants, to receive from them a share of the produce of the grape harvest;
[OEB | EN | NT | Mark | Chapter 12 | Verse 3] but they seized him, and beat him, and sent him away empty-handed.
[OEB | EN | NT | Mark | Chapter 12 | Verse 4] A second time the owner sent a servant to them; this man, too, the tenants struck on the head, and insulted.
[OEB | EN | NT | Mark | Chapter 12 | Verse 5] He sent another, but him they killed; and so with many others – some they beat and some they killed.
[OEB | EN | NT | Mark | Chapter 12 | Verse 6] He had still one son, who was very dear to him; and him he sent to them last of all. “They will respect my son,” he said.
[OEB | EN | NT | Mark | Chapter 12 | Verse 7] But those tenants said to one another “Here is the heir! Come, let us kill him, and his inheritance will be ours.”
[OEB | EN | NT | Mark | Chapter 12 | Verse 8] So they seized him, and killed him, and threw his body outside the vineyard.
[OEB | EN | NT | Mark | Chapter 12 | Verse 9] What will the owner of the vineyard do? He will come and put the tenants to death, and he will let the vineyard to others.
[OEB | EN | NT | Mark | Chapter 12 | Verse 10] ‘Have you never read this passage of scripture? – “The stone which the builders despised has now itself become the cornerstone;
[OEB | EN | NT | Mark | Chapter 12 | Verse 11] this cornerstone has come from the Lord, and is marvellous in our eyes.”’
[OEB | EN | NT | Mark | Chapter 12 | Verse 12] After this his enemies were eager to arrest him, but they were afraid of the crowd; for they saw that it was at them that he had aimed the parable. So they left him alone, and went away.
[OEB | EN | NT | Mark | Chapter 12 | Verse 13] Afterwards they sent to Jesus some of the Pharisees and Herodians, to set a trap for him in the course of conversation.
[OEB | EN | NT | Mark | Chapter 12 | Verse 14] These men came to him and said, ‘Teacher, we know that you are an honest man, and are not afraid of anyone, for you pay no regard to a person’s position, but teach the way of God honestly; are we right in paying taxes to the Emperor, or not?
[OEB | EN | NT | Mark | Chapter 12 | Verse 15] Should we pay, or should we not pay?’ Knowing their hypocrisy, Jesus said to them, ‘Why are you testing me? Bring me a coin to look at.’
[OEB | EN | NT | Mark | Chapter 12 | Verse 16] And, when they had brought it, he asked, ‘Whose head and title are these?’ ‘The Emperor’s,’ they said;
[OEB | EN | NT | Mark | Chapter 12 | Verse 17] and Jesus replied, ‘Pay to the Emperor what belongs to the Emperor, and to God what belongs to God.’ And they were amazed at him.
[OEB | EN | NT | Mark | Chapter 12 | Verse 18] Next came some Sadducees – the men who maintain that there is no resurrection. Their question was this –
[OEB | EN | NT | Mark | Chapter 12 | Verse 19] ‘Teacher, in our scriptures Moses decreed that, should a man’s brother die, leaving a widow but no child, the man should take the widow as his wife, and raise up a family for his brother.
[OEB | EN | NT | Mark | Chapter 12 | Verse 20] There were once seven brothers. The eldest married, but died and left no family;
[OEB | EN | NT | Mark | Chapter 12 | Verse 21] and the second married his widow, and died without family; and so did the third.
[OEB | EN | NT | Mark | Chapter 12 | Verse 22] All the seven died and left no family. The woman herself died last of all.
[OEB | EN | NT | Mark | Chapter 12 | Verse 23] At the resurrection whose wife will she be, all seven brothers having had her as their wife?’
[OEB | EN | NT | Mark | Chapter 12 | Verse 24] ‘Is not the reason of your mistake,’ answered Jesus, ‘your ignorance of the scriptures and of the power of God?
[OEB | EN | NT | Mark | Chapter 12 | Verse 25] When people rise from the dead, there is no marrying or being married; but they are as angels in heaven.
