[OEB | EN | NT | Mark | Chapter 11 | Verse 1] When they had almost reached Jerusalem, as far as Bethphage and Bethany, near the Mount of Olives, Jesus sent on two of his disciples.
[OEB | EN | NT | Mark | Chapter 11 | Verse 2] ‘Go to the village facing you,’ he said, ‘and, as soon as you get there, you will find a foal tethered, which no one has ever ridden; untie it, and bring it.
[OEB | EN | NT | Mark | Chapter 11 | Verse 3] And, if anyone says to you “Why are you doing that?”, say “The Master wants it, and will be sure to send it back here at once.”’
[OEB | EN | NT | Mark | Chapter 11 | Verse 4] The two disciples went, and, finding a foal tethered outside a door in the street, they untied it.
[OEB | EN | NT | Mark | Chapter 11 | Verse 5] Some of the bystanders said to them, ‘What are you doing, untying the foal?’
[OEB | EN | NT | Mark | Chapter 11 | Verse 6] And the two disciples answered as Jesus had told them; and they allowed them to go.
[OEB | EN | NT | Mark | Chapter 11 | Verse 7] Then they brought the foal to Jesus, and, when they had laid their cloaks on it, he seated himself on it.
[OEB | EN | NT | Mark | Chapter 11 | Verse 8] Many of the people spread their cloaks on the road, while some strewed boughs which they had cut from the fields;
[OEB | EN | NT | Mark | Chapter 11 | Verse 9] and those who led the way, as well as those who followed, kept shouting, ‘God save him! Blessed is He who comes in the name of the Lord!
[OEB | EN | NT | Mark | Chapter 11 | Verse 10] Blessed is the coming kingdom of our father David! God save him from on high!’
[OEB | EN | NT | Mark | Chapter 11 | Verse 11] Jesus entered Jerusalem, and went into the Temple Courts; and, after looking round at everything, as it was already late, he went out to Bethany with the Twelve.
[OEB | EN | NT | Mark | Chapter 11 | Verse 12] The next day, after they had left Bethany, Jesus became hungry;
[OEB | EN | NT | Mark | Chapter 11 | Verse 13] and, noticing a fig tree at a distance in leaf, he went to it to see if by any chance he could find something on it; but, on coming up to it, he found nothing but leaves, for it was not the season for figs.
[OEB | EN | NT | Mark | Chapter 11 | Verse 14] So, addressing the tree, he exclaimed, ‘May no one ever again eat of your fruit!’ And his disciples heard what he said.
[OEB | EN | NT | Mark | Chapter 11 | Verse 15] They came to Jerusalem. Jesus went into the Temple Courts, and began to drive out those who were buying and selling there. He overturned the tables of the money changers, and the seats of the pigeon-dealers,
[OEB | EN | NT | Mark | Chapter 11 | Verse 16] and would not allow anyone to carry anything across the Temple Courts.
[OEB | EN | NT | Mark | Chapter 11 | Verse 17] Then he began to teach. ‘Does not scripture say,’ he asked, ‘“My house will be called a house of prayer for all the nations”? But you have made it a den of robbers.’
[OEB | EN | NT | Mark | Chapter 11 | Verse 18] Now the chief priests and the teachers of the Law heard this and began to look for some way of putting Jesus to death; for they were afraid of him, since all the people were greatly impressed by his teaching.
[OEB | EN | NT | Mark | Chapter 11 | Verse 19] As soon as evening fell, Jesus and his disciples went out of the city.
[OEB | EN | NT | Mark | Chapter 11 | Verse 20] As they passed by early in the morning, they noticed that the fig tree was withered up from the roots.
[OEB | EN | NT | Mark | Chapter 11 | Verse 21] Then Peter recalled what had occurred. ‘Look, Rabbi,’ he exclaimed, ‘the fig tree which you doomed is withered up!’
[OEB | EN | NT | Mark | Chapter 11 | Verse 22] ‘Have faith in God!’ replied Jesus.
[OEB | EN | NT | Mark | Chapter 11 | Verse 23] ‘I tell you that if anyone should say to this hill “Be lifted up and hurled into the sea!”, without ever a doubt in his mind, but in the faith that what he says will be done, he would find that it would be.
[OEB | EN | NT | Mark | Chapter 11 | Verse 24] And therefore I say to you “Have faith that whatever you ask for in prayer is already granted you, and you will find that it will be.”
[OEB | EN | NT | Mark | Chapter 11 | Verse 25] ‘And, whenever you stand up to pray, forgive any grievance that you have against anyone, so that your Father who is in heaven also may forgive you your offences.’
[OEB | EN | NT | Mark | Chapter 11 | Verse 27] They came to Jerusalem again. While Jesus was walking about in the Temple Courts, the chief priests, the teachers of the Law, and the elders came up to him.
[OEB | EN | NT | Mark | Chapter 11 | Verse 28] ‘What authority have you to do these things?’ they said. ‘Who gave you the authority to do them?’
[OEB | EN | NT | Mark | Chapter 11 | Verse 29] ‘I will put one question to you,’ said Jesus. ‘Answer me that, and then I will tell you what authority I have to act as I do.
[OEB | EN | NT | Mark | Chapter 11 | Verse 30] It is about John’s baptism. Was it of divine or human origin? Answer me that.’
[OEB | EN | NT | Mark | Chapter 11 | Verse 31] They began arguing together. ‘If we say “divine,” he will say “Why then didn’t you believe him?”
[OEB | EN | NT | Mark | Chapter 11 | Verse 32] Yet can we say “human”?’ They were afraid of the people, for everyone regarded John as undoubtedly a prophet.
[OEB | EN | NT | Mark | Chapter 11 | Verse 33] So their answer to Jesus was – ‘We do not know.’ ‘Then I,’ replied Jesus, ‘refuse to tell you what authority I have to do these things.’
