[OEB | EN | NT | Mark | Chapter 7 | Verse 1] One day the Pharisees and some of the teachers of the Law who had come from Jerusalem gathered round Jesus.
[OEB | EN | NT | Mark | Chapter 7 | Verse 2] They had noticed that some of his disciples ate their food with their hands “defiled,” by which they meant unwashed.
[OEB | EN | NT | Mark | Chapter 7 | Verse 3] (For the Pharisees, and indeed all strict Jews, will not eat without first scrupulously washing their hands, holding in this to the traditions of their ancestors.
[OEB | EN | NT | Mark | Chapter 7 | Verse 4] When they come from market, they will not eat without first sprinkling themselves; and there are many other customs which they have inherited and hold to, such as the ceremonial washing of cups, and jugs, and copper pans).
[OEB | EN | NT | Mark | Chapter 7 | Verse 5] So the Pharisees and the teachers of the Law asked Jesus this question – ‘How is it that your disciples do not follow the traditions of our ancestors, but eat their food with defiled hands?’
[OEB | EN | NT | Mark | Chapter 7 | Verse 6] His answer was, ‘It was well said by Isaiah when he prophesied about you hypocrites in the words – “This is a people who honour me with their lips, while their hearts are far removed from me;
[OEB | EN | NT | Mark | Chapter 7 | Verse 7] but vainly do they worship me, For they teach but human precepts.”
[OEB | EN | NT | Mark | Chapter 7 | Verse 8] You neglect God’s commandments and hold to human traditions.
[OEB | EN | NT | Mark | Chapter 7 | Verse 9] Wisely do you set aside God’s commandments,’ he exclaimed, ‘to keep your own traditions!
[OEB | EN | NT | Mark | Chapter 7 | Verse 10] For while Moses said “Honour your father and your mother,” and “Let anyone who abuses their father or mother suffer death,”
[OEB | EN | NT | Mark | Chapter 7 | Verse 11] you say “If a person says to their father or mother ‘Whatever of mine might have been of service to you is Corban’” (which means “Set apart for God”) –
[OEB | EN | NT | Mark | Chapter 7 | Verse 12] why, then you do not allow them to do anything further for their father or mother!
[OEB | EN | NT | Mark | Chapter 7 | Verse 13] In this way you nullify the words of God by your traditions, which you hand down; and you do many similar things.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 14] Then Jesus called the people to him again, and said, ‘Listen to me, all of you, and mark my words.
[OEB | EN | NT | Mark | Chapter 7 | Verse 15] There is nothing external to a person, which by going into them can defile them; but the things that come out of a person are the things that defile them.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 17] When Jesus went indoors, away from the crowd, his disciples began questioning him about this saying.
[OEB | EN | NT | Mark | Chapter 7 | Verse 18] ‘What, do even you understand so little?’ exclaimed Jesus. ‘Don’t you see that there is nothing external to a person, which by going into a person, can defile them,
[OEB | EN | NT | Mark | Chapter 7 | Verse 19] because it does not pass into his heart, but into his stomach, and is afterwards got rid of?’ – in saying this Jesus pronounced all food clean.
[OEB | EN | NT | Mark | Chapter 7 | Verse 20] ‘It is what comes out from a person,’ he added, ‘that defiles them,
[OEB | EN | NT | Mark | Chapter 7 | Verse 21] for it is from within, out of the hearts of people, that there come evil thoughts – sexual immorality, theft, murder, adultery,
[OEB | EN | NT | Mark | Chapter 7 | Verse 22] greed, wickedness, deceit, indecency, envy, slander, haughtiness, folly;
[OEB | EN | NT | Mark | Chapter 7 | Verse 23] all these wicked things come from within, and do defile a person.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 24] On leaving that place, Jesus went to the district of Tyre and Sidon. He went into a house, and did not wish anyone to know it, but could not escape notice.
[OEB | EN | NT | Mark | Chapter 7 | Verse 25] For a woman, whose little daughter had a foul spirit in her, heard of him immediately, and came and threw herself at his feet –
[OEB | EN | NT | Mark | Chapter 7 | Verse 26] the woman was a foreigner, from Syrian Phoenicia – and she begged him to drive the demon out of her daughter.
[OEB | EN | NT | Mark | Chapter 7 | Verse 27] ‘Let the children be satisfied first,’ answered Jesus. ‘For it is not fair to take the children’s food, and throw it to dogs.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 28] ‘Yes, Master,’ she replied. ‘Even the dogs under the table do feed on the children’s crumbs.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 29] ‘For saying that,’ he answered, ‘you may go. The demon has gone out of your daughter.’
[OEB | EN | NT | Mark | Chapter 7 | Verse 30] The woman went home, and found the child lying on her bed, and the demon gone.
[OEB | EN | NT | Mark | Chapter 7 | Verse 31] On returning from the district of Tyre, Jesus went, by way of Sidon, to the Sea of Galilee, across the district of the Ten Towns.
[OEB | EN | NT | Mark | Chapter 7 | Verse 32] Some people brought to him a man who was deaf and almost dumb, and they begged Jesus to place his hand on him.
[OEB | EN | NT | Mark | Chapter 7 | Verse 33] Jesus took him aside from the crowd quietly, put his fingers into the man’s ears, and touched his tongue with saliva.
[OEB | EN | NT | Mark | Chapter 7 | Verse 34] Then, looking up to heaven, he sighed, and said to the man, ‘Ephphatha!’ which means “Be opened.”
[OEB | EN | NT | Mark | Chapter 7 | Verse 35] The man’s ears were opened, the string of his tongue was freed, and he began to talk plainly.
[OEB | EN | NT | Mark | Chapter 7 | Verse 36] Jesus insisted on their not telling anyone; but the more he insisted, the more perseveringly they made it known,
[OEB | EN | NT | Mark | Chapter 7 | Verse 37] and a profound impression was made on the people. ‘He has done everything well!’ they exclaimed. ‘He makes even the deaf hear and the dumb speak!’
