[OEB | EN | NT | Mark | Chapter 10 | Verse 1] On leaving that place, Jesus went into the district of Judea on the other side of the Jordan. Crowds gathered about him again; and again, as usual, he began teaching them.
[OEB | EN | NT | Mark | Chapter 10 | Verse 2] Presently some Pharisees came up and, to test him, asked, ‘Has a husband the right to divorce his wife?’
[OEB | EN | NT | Mark | Chapter 10 | Verse 3] ‘What direction did Moses give you?’ replied Jesus.
[OEB | EN | NT | Mark | Chapter 10 | Verse 4] ‘Moses,’ they said, ‘permitted a man to draw up in writing a notice of separation and divorce his wife.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 5] ‘It was owing to the hardness of your hearts,’ said Jesus, ‘that Moses gave you this direction;
[OEB | EN | NT | Mark | Chapter 10 | Verse 6] but, at the beginning of the Creation, “God made them male and female.”
[OEB | EN | NT | Mark | Chapter 10 | Verse 7] “For this reason a man will leave his father and mother,
[OEB | EN | NT | Mark | Chapter 10 | Verse 8] and the man and his wife will become one;” so that they are no longer two, but one.
[OEB | EN | NT | Mark | Chapter 10 | Verse 9] What God himself, then, has yoked together no one must separate.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 10] When they were indoors, the disciples asked him again about this,
[OEB | EN | NT | Mark | Chapter 10 | Verse 11] and he said, ‘Anyone who divorces his wife and marries another woman is guilty of adultery against his wife;
[OEB | EN | NT | Mark | Chapter 10 | Verse 12] and, if the woman divorces her husband and marries another man, she is guilty of adultery.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 13] Some of the people were bringing little children to Jesus, for him to touch them; but the disciples rebuked those who had brought them.
[OEB | EN | NT | Mark | Chapter 10 | Verse 14] When, however, Jesus saw this, he was indignant. ‘Let the little children come to me,’ he said, ‘do not hinder them; for it is to the childlike that the kingdom of God belongs.
[OEB | EN | NT | Mark | Chapter 10 | Verse 15] I tell you, unless a person receives the kingdom of God like a child, they will not enter it at all.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 16] Then he embraced the children, and, placing his hands on them, gave them his blessing.
[OEB | EN | NT | Mark | Chapter 10 | Verse 17] As Jesus was resuming his journey, a man came running up to him, and threw himself on his knees before him. ‘Good teacher,’ he asked, ‘what must I do to gain eternal life?’
[OEB | EN | NT | Mark | Chapter 10 | Verse 18] ‘Why do you call me good?’ answered Jesus. ‘No one is good but God.
[OEB | EN | NT | Mark | Chapter 10 | Verse 19] You know the commandments – “Do not kill. Do not commit adultery. Do not steal. Do not say what is false about others. Do not cheat. Honour your father and your mother.”’
[OEB | EN | NT | Mark | Chapter 10 | Verse 20] ‘Teacher,’ he replied, ‘I have observed all these from my childhood.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 21] Jesus looked at the man, and his heart went out to him, and he said, ‘There is still one thing wanting in you; go and sell all that you have, and give to the poor, and you will have wealth in heaven; then come and follow me.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 22] But the man’s face clouded at these words, and he went away distressed, for he had great possessions.
[OEB | EN | NT | Mark | Chapter 10 | Verse 23] Then Jesus looked round, and said to his disciples, ‘How hard it will be for people of wealth to enter the kingdom of God!’
[OEB | EN | NT | Mark | Chapter 10 | Verse 24] The disciples were amazed at his words. But Jesus said again, ‘My children, how hard a thing it is to enter the kingdom of God!
[OEB | EN | NT | Mark | Chapter 10 | Verse 25] It is easier for a camel to get through a needle’s eye, than for a rich person to enter the kingdom of God.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 26] ‘Then who can be saved?’ they exclaimed in the greatest astonishment.
[OEB | EN | NT | Mark | Chapter 10 | Verse 27] Jesus looked at them, and answered, ‘With people it is impossible, but not with God; for everything is possible with God.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 28] ‘But we,’ began Peter, ‘we left everything and have followed you.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 29] ‘I tell you,’ said Jesus, ‘there is no one who has left house, or brothers, or sisters, or mother, or father, or children, or land, for my sake and for the good news,
[OEB | EN | NT | Mark | Chapter 10 | Verse 30] who will not receive a hundred times as much, even now in the present – houses, and brothers, and sisters, and mothers, and children, and land, though not without persecutions – and in the age that is coming, eternal life.
[OEB | EN | NT | Mark | Chapter 10 | Verse 31] But many who are first now will then be last, and the last will be first.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 32] They were on the road going up to Jerusalem, with Jesus walking in front of them. The disciples were filled with awe, while those who were following behind were overwhelmed with fear. Gathering the Twelve round him once more, Jesus began to tell them what was about to happen to him.
[OEB | EN | NT | Mark | Chapter 10 | Verse 33] ‘Listen!’ he said. ‘We are going up to Jerusalem; and there the Son of Man will be betrayed to the chief priests and the teachers of the Law, and they will condemn him to death, and they will give him up to the Gentiles,
[OEB | EN | NT | Mark | Chapter 10 | Verse 34] who will mock him, spit on him, and scourge him, and put him to death; and after three days he will rise again.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 35] James and John, the two sons of Zebedee, went to Jesus, and said, ‘Teacher, we want you to do for us whatever we ask.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 36] ‘What do you want me to do for you?’ he asked.
[OEB | EN | NT | Mark | Chapter 10 | Verse 37] ‘Grant us this,’ they answered, ‘to sit, one on your right, and the other on your left, when you come in glory.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 38] ‘You do not know what you are asking,’ Jesus said to them. ‘Can you drink the cup that I am to drink? Or receive the baptism that I am to receive?’
[OEB | EN | NT | Mark | Chapter 10 | Verse 39] ‘Yes,’ they answered, ‘we can.’ ‘You will indeed drink the cup that I am to drink,’ Jesus said, ‘and receive the baptism that I am to receive,
[OEB | EN | NT | Mark | Chapter 10 | Verse 40] but as to a seat at my right or at my left – that is not mine to give, but it is for those for whom it has been prepared.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 41] On hearing of this, the ten others were at first very indignant about James and John.
[OEB | EN | NT | Mark | Chapter 10 | Verse 42] But Jesus called the ten to him, and said, ‘Those who are regarded as ruling among the Gentiles lord it over them, as you know, and their great men oppress them.
[OEB | EN | NT | Mark | Chapter 10 | Verse 43] But among you it is not so. No, whoever wants to become great among you must be your servant,
[OEB | EN | NT | Mark | Chapter 10 | Verse 44] and whoever wants to take the first place among you must be the servant of all;
[OEB | EN | NT | Mark | Chapter 10 | Verse 45] for even the Son of Man came, not be served, but to serve, and to give his life as a ransom for many.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 46] They came to Jericho. When Jesus was going out of the town with his disciples and a large crowd, Bartimaeus, the son of Timaeus, a blind beggar, was sitting by the roadside.
[OEB | EN | NT | Mark | Chapter 10 | Verse 47] Hearing that it was Jesus the Nazarene, he began to call out, ‘Jesus, Son of David, take pity on me.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 48] Many of the people kept telling him to be quiet; but the man continued to call out all the louder, ‘Son of David, take pity on me.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 49] Then Jesus stopped. ‘Call him,’ he said. So they called the blind man. ‘Have courage!’ they exclaimed. ‘Get up; he is calling you.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 50] The man threw off his cloak, sprang up, and came to Jesus.
[OEB | EN | NT | Mark | Chapter 10 | Verse 51] ‘What do you want me to do for you?’ said Jesus, addressing him. ‘Rabboni,’ the blind man answered, ‘I want to recover my sight.’
[OEB | EN | NT | Mark | Chapter 10 | Verse 52] ‘You may go,’ Jesus said, ‘Your faith has delivered you.’ Immediately he recovered his sight, and began to follow Jesus along the road.
