[OEB | EN | NT | Mark | Chapter 2 | Verse 1] Some days later, when Jesus came back to Capernaum, the news spread that he was in a house there;
[OEB | EN | NT | Mark | Chapter 2 | Verse 2] and so many people collected together, that after a while there was no room for them even round the door; and he began to tell them his message.
[OEB | EN | NT | Mark | Chapter 2 | Verse 3] Some people came, bringing to him a paralysed man, who was being carried by four of them.
[OEB | EN | NT | Mark | Chapter 2 | Verse 4] They were unable to get him near to Jesus, because of the crowd, so they removed the roof above Jesus, and, when they had made an opening, they let down the mat on which the paralysed man was lying.
[OEB | EN | NT | Mark | Chapter 2 | Verse 5] When Jesus saw their faith, he said to the man, ‘Child, your sins are forgiven.’
[OEB | EN | NT | Mark | Chapter 2 | Verse 6] But some of the teachers of the Law who were sitting there were debating in their minds,
[OEB | EN | NT | Mark | Chapter 2 | Verse 7] ‘Why does this man speak like this? He is blaspheming! Who can forgive sins except God?’
[OEB | EN | NT | Mark | Chapter 2 | Verse 8] Jesus, at once intuitively aware that they were debating with themselves in this way, said to them, ‘Why are you debating in your minds about this?
[OEB | EN | NT | Mark | Chapter 2 | Verse 9] Which is easier? – to say to the paralysed man, “Your sins are forgiven”? Or to say “Get up, and take up your mat, and walk”?
[OEB | EN | NT | Mark | Chapter 2 | Verse 10] But so you may know that the Son of Man has power to forgive sins on earth’ – here he said to the paralysed man –
[OEB | EN | NT | Mark | Chapter 2 | Verse 11] ‘To you I say, Get up, take up your mat, and return to your home.’
[OEB | EN | NT | Mark | Chapter 2 | Verse 12] The man got up, and immediately took up his mat, and went out before them all; at which they were amazed, and, as they praised God, they said, ‘We have never seen anything like this!’
[OEB | EN | NT | Mark | Chapter 2 | Verse 13] Jesus went out again to the sea; and all the people came to him, and he taught them.
[OEB | EN | NT | Mark | Chapter 2 | Verse 14] As he went along, he saw Levi, the son of Alphaeus, sitting in the tax office, and said to him, ‘Follow me.’ Levi got up and followed him.
[OEB | EN | NT | Mark | Chapter 2 | Verse 15] Later on he was in his house having dinner, and a number of tax collectors and outcasts took their places at the table with Jesus and his disciples; for many of them were following him.
[OEB | EN | NT | Mark | Chapter 2 | Verse 16] When the teachers of the Law belonging to the party of the Pharisees saw that he was eating in the company of such people, they said to his disciples, ‘Why does he eat with the tax collectors and outcasts?’
[OEB | EN | NT | Mark | Chapter 2 | Verse 17] Hearing this, Jesus said, ‘It is not those who are healthy who need a doctor, but those who are ill. I did not come to call the religious, but the outcast.’
[OEB | EN | NT | Mark | Chapter 2 | Verse 18] Now John’s disciples and the Pharisees were fasting, and people came and asked Jesus, ‘Why is it that John’s disciples and the disciples of the Pharisees fast, while yours do not?’
[OEB | EN | NT | Mark | Chapter 2 | Verse 19] Jesus answered, ‘Can the groom’s friends fast, while the groom is with them? As long as they have the groom with them, they cannot fast.
[OEB | EN | NT | Mark | Chapter 2 | Verse 20] But the days will come, when the groom will be taken away from them, and they will fast then – when that day comes.’
[OEB | EN | NT | Mark | Chapter 2 | Verse 21] ‘No one ever sews a piece of unshrunk cloth on an old garment; if they do, the patch tears away from it – the new from the old – and a worse tear is made.
[OEB | EN | NT | Mark | Chapter 2 | Verse 22] And no one ever puts new wine into old wine-skins; if they do, the wine will burst the skins, and both the wine and the skins are lost. But new wine is put into fresh skins.’
[OEB | EN | NT | Mark | Chapter 2 | Verse 23] One Sabbath, as Jesus was walking through the cornfields, his disciples began to pick the ears of wheat as they went along.
[OEB | EN | NT | Mark | Chapter 2 | Verse 24] ‘Look!’ the Pharisees said to him, ‘why are they doing what is not allowed on the Sabbath?’
[OEB | EN | NT | Mark | Chapter 2 | Verse 25] ‘Have you never read,’ answered Jesus, ‘what David did when he was in need and hungry, he and his companions –
[OEB | EN | NT | Mark | Chapter 2 | Verse 26] how he went into the house of God, in the time of Abiathar the high priest, and ate the consecrated bread, which only the priests are allowed to eat, and gave some to his comrades as well?’
[OEB | EN | NT | Mark | Chapter 2 | Verse 27] Then Jesus added, ‘The Sabbath was made for people, and not people for the Sabbath;
[OEB | EN | NT | Mark | Chapter 2 | Verse 28] so the Son of Man is lord even of the Sabbath.’
