[OEB | EN | NT | Mark | Chapter 14 | Verse 1] It was now two days before the Festival of the Passover and the unleavened bread. The chief priests and the teachers of the Law were looking for an opportunity to arrest Jesus by stealth, and to put him to death;
[OEB | EN | NT | Mark | Chapter 14 | Verse 2] for they said, ‘Not during the Festival, or the people may riot.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 3] When Jesus was still at Bethany, in the house of Simon the leper, while he was sitting at the table, a woman came with an alabaster jar of choice spikenard perfume of great value. She broke the jar, and poured the perfume on his head.
[OEB | EN | NT | Mark | Chapter 14 | Verse 4] Some of those who were present said to one another indignantly, ‘Why has the perfume been wasted like this?
[OEB | EN | NT | Mark | Chapter 14 | Verse 5] This perfume could have been sold for more than a year’s wages, and the money given to the poor.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 6] ‘Leave her alone,’ said Jesus, as they began to find fault with her, ‘why are you troubling her? This is a beautiful deed that she has done for me.
[OEB | EN | NT | Mark | Chapter 14 | Verse 7] You always have the poor with you, and whenever you wish you can do good to them; but you will not always have me.
[OEB | EN | NT | Mark | Chapter 14 | Verse 8] She has done what she could; she has perfumed my body beforehand for my burial.
[OEB | EN | NT | Mark | Chapter 14 | Verse 9] And I tell you, wherever, in the whole world, the good news is proclaimed, what this woman has done will be told in memory of her.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 10] After this, Judas Iscariot, one of the Twelve, went to the chief priests, to betray Jesus to them.
[OEB | EN | NT | Mark | Chapter 14 | Verse 11] They were glad to hear what he said, and promised to pay him. So he began looking for a good opportunity to betray Jesus.
[OEB | EN | NT | Mark | Chapter 14 | Verse 12] On the first day of the Festival of the unleavened bread, when it was customary to kill the Passover lambs, his disciples said to Jesus, ‘Where do you wish us to go and make preparations for your eating the Passover?’
[OEB | EN | NT | Mark | Chapter 14 | Verse 13] Jesus sent forward two of his disciples and said to them, ‘Go into the city, and there a man carrying a pitcher of water will meet you; follow him;
[OEB | EN | NT | Mark | Chapter 14 | Verse 14] and, wherever he goes in, say to the owner of the house “The teacher says – Where is my room where I am to eat the Passover with my disciples?”
[OEB | EN | NT | Mark | Chapter 14 | Verse 15] He will himself show you a large upstairs room, set out ready; and there make preparations for us.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 16] So the disciples set out and went into the city, and found everything just as Jesus had told them; and they prepared the Passover.
[OEB | EN | NT | Mark | Chapter 14 | Verse 17] In the evening he went there with the Twelve,
[OEB | EN | NT | Mark | Chapter 14 | Verse 18] and when they had taken their places and were eating, Jesus said, ‘I tell you that one of you is going to betray me – one who is eating with me.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 19] They were grieved at this, and began to say to him, one after another, ‘Can it be I?’
[OEB | EN | NT | Mark | Chapter 14 | Verse 20] ‘It is one of you Twelve,’ said Jesus, ‘the one who is dipping his bread beside me into the dish.
[OEB | EN | NT | Mark | Chapter 14 | Verse 21] True, the Son of Man must go, as scripture says of him, yet alas for that man by whom the Son of Man is being betrayed! For that man it would be better never to have been born!’
[OEB | EN | NT | Mark | Chapter 14 | Verse 22] While they were eating, Jesus took some bread, and, after saying the blessing, broke it, and gave it to them, and said, ‘Take it; this is my body.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 23] Then he took a cup, and, after saying the thanksgiving, gave it to them, and they all drank from it.
[OEB | EN | NT | Mark | Chapter 14 | Verse 24] ‘This is my covenant-blood,’ he said, ‘which is poured out on behalf of many.
[OEB | EN | NT | Mark | Chapter 14 | Verse 25] I tell you that I will never again drink of the fruit of the vine, until that day when I will drink it new in the kingdom of God.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 26] They then sang a hymn, and went out up the Mount of Olives,
[OEB | EN | NT | Mark | Chapter 14 | Verse 27] presently Jesus said to them, ‘All of you will fall away; for scripture says – “I will strike down the shepherd, and the sheep will be scattered.”
[OEB | EN | NT | Mark | Chapter 14 | Verse 28] Yet, after I have risen, I will go before you into Galilee.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 29] ‘Even if everyone else falls away,’ said Peter, ‘I will not.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 30] ‘I tell you,’ answered Jesus, ‘that you yourself today – yes, this very night – before the cock crows twice, will disown me three times.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 31] But Peter vehemently protested, ‘Even if I must die with you, I will never disown you!’ And they all said the same.
[OEB | EN | NT | Mark | Chapter 14 | Verse 32] Presently they came to a garden known as Gethsemane, and Jesus said to his disciples ‘Sit down here while I pray.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 33] He took with him Peter, James, and John; and began to show signs of great dismay and deep distress of mind.
[OEB | EN | NT | Mark | Chapter 14 | Verse 34] ‘I am sad at heart,’ he said, ‘sad even to death; wait here, and watch.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 35] Going on a little further, he threw himself on the ground, and began to pray that, if it were possible, he might be spared that hour.
[OEB | EN | NT | Mark | Chapter 14 | Verse 36] ‘Abba, Father,’ he said, ‘all things are possible to you; take away this cup from me; yet, not what I will, but what you will.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 37] Then he came and found the three apostles asleep. ‘Simon,’ he said to Peter, ‘are you asleep? Couldn’t you watch for one hour?
[OEB | EN | NT | Mark | Chapter 14 | Verse 38] Watch and pray,’ he said to them all, ‘so that you may not fall into temptation. True, the spirit is willing, but the flesh is weak.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 39] Again he went away, and prayed in the same words;
[OEB | EN | NT | Mark | Chapter 14 | Verse 40] and coming back again he found them asleep, for their eyes were heavy; and they did not know what to say to him.
[OEB | EN | NT | Mark | Chapter 14 | Verse 41] A third time he came, and said to them, ‘Sleep on now, and rest yourselves. Enough! My time has come. Look, the Son of Man is being betrayed into the hands of wicked people.
[OEB | EN | NT | Mark | Chapter 14 | Verse 42] Up, and let us be going. Look! My betrayer is close at hand.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 43] And just then, while he was still speaking, Judas, who was one of the Twelve, came up; and with him a crowd of people, with swords and clubs, sent by the chief priests, the teachers of the Law, and the elders.
[OEB | EN | NT | Mark | Chapter 14 | Verse 44] Now the betrayer had arranged a signal with them. ‘The man whom I kiss,’ he had said, ‘will be the one; arrest him and take him away safely.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 45] As soon as Judas came, he went up to Jesus at once, and said, ‘Rabbi!’ and kissed him.
[OEB | EN | NT | Mark | Chapter 14 | Verse 46] Then the men seized Jesus, and arrested him.
[OEB | EN | NT | Mark | Chapter 14 | Verse 47] One of those who were standing by drew his sword, and struck at the high priest’s servant, and cut off his ear.
[OEB | EN | NT | Mark | Chapter 14 | Verse 48] But Jesus spoke up, and said to the men, ‘Have you come out, as if after a robber, with swords and clubs, to take me?
[OEB | EN | NT | Mark | Chapter 14 | Verse 49] I have been among you day after day in the Temple Courts teaching, and yet you did not arrest me; but this is in fulfilment of the scriptures.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 50] And all the apostles deserted him and fled.
[OEB | EN | NT | Mark | Chapter 14 | Verse 51] One young man did indeed follow him, wrapped only in a linen sheet. They tried to arrest him;
[OEB | EN | NT | Mark | Chapter 14 | Verse 52] but he left the sheet in their hands, and fled naked.
[OEB | EN | NT | Mark | Chapter 14 | Verse 53] Then they took Jesus to the high priest; and all the chief priests, elders, and the teachers of the Law assembled.
[OEB | EN | NT | Mark | Chapter 14 | Verse 54] Peter, who had followed Jesus at a distance into the courtyard of the high priest, was sitting there among the guards, warming himself at the blaze of the fire.
[OEB | EN | NT | Mark | Chapter 14 | Verse 55] Meanwhile the chief priest and the whole of the High Council were trying to get such evidence against Jesus as would warrant his being put to death, but they could not find any;
[OEB | EN | NT | Mark | Chapter 14 | Verse 56] for, though there were many who gave false evidence against him, yet their evidence did not agree.
[OEB | EN | NT | Mark | Chapter 14 | Verse 57] Presently some men stood up, and gave this false evidence against him –
[OEB | EN | NT | Mark | Chapter 14 | Verse 58] ‘We ourselves heard him say “I will destroy this Temple made with hands, and in three days build another made without hands.”’
[OEB | EN | NT | Mark | Chapter 14 | Verse 59] Yet not even on that point did their evidence agree.
[OEB | EN | NT | Mark | Chapter 14 | Verse 60] Then the high priest stood forward, and questioned Jesus. ‘Have you no answer to make?’ he asked. ‘What is this evidence which these men are giving against you?’
[OEB | EN | NT | Mark | Chapter 14 | Verse 61] But Jesus remained silent, and made no answer. A second time the high priest questioned him. ‘Are you,’ he asked, ‘the Christ, the Son of the Blessed One?’
[OEB | EN | NT | Mark | Chapter 14 | Verse 62] ‘I am,’ replied Jesus, ‘and you will all see the Son of Man sitting on the right hand of the Almighty, and coming in the clouds of heaven.’
[OEB | EN | NT | Mark | Chapter 14 | Verse 63] At this the high priest tore his vestments. ‘Why do we want any more witnesses?’ he exclaimed.
[OEB | EN | NT | Mark | Chapter 14 | Verse 64] ‘You heard his blasphemy? What is your verdict?’ They all condemned him, declaring that he deserved death.
[OEB | EN | NT | Mark | Chapter 14 | Verse 65] Some of those present began to spit at him, and to blindfold his eyes, and strike him, saying, as they did so, ‘Now play the prophet!’ and even the guards received him with blows.
[OEB | EN | NT | Mark | Chapter 14 | Verse 66] While Peter was in the courtyard down below, one of the high priest’s maidservants came up;
[OEB | EN | NT | Mark | Chapter 14 | Verse 67] and, seeing Peter warming himself, she looked closely at him, and exclaimed, ‘Why, you were with Jesus, the Nazarene!’
[OEB | EN | NT | Mark | Chapter 14 | Verse 68] But Peter denied it. ‘I do not know or understand what you mean,’ he replied. Then he went out into the porch;
[OEB | EN | NT | Mark | Chapter 14 | Verse 69] and there the maidservant, on seeing him, began to say again to the bystanders, ‘This is one of them!’
[OEB | EN | NT | Mark | Chapter 14 | Verse 70] But Peter again denied it. Soon afterwards the bystanders again said to him, ‘You certainly are one of them; why you are a Galilean!’
[OEB | EN | NT | Mark | Chapter 14 | Verse 71] But he said to them, ‘I swear that I do not know the man you are talking about! May God punish me if I am lying!’
[OEB | EN | NT | Mark | Chapter 14 | Verse 72] At that moment, for the second time, a cock crowed; and Peter remembered the words that Jesus had said to him – “Before a cock has crowed twice, you will disown me three times”; and, as he thought of it, he began to weep.
