[OEB | EN | NT | Mark | Chapter 8 | Verse 1] About that time, when there was again a great crowd of people who had nothing to eat, Jesus called his disciples to him, and said,
[OEB | EN | NT | Mark | Chapter 8 | Verse 2] ‘My heart is moved at the sight of all these people, for they have already been with me three days and they have nothing to eat;
[OEB | EN | NT | Mark | Chapter 8 | Verse 3] and if I send them away to their homes hungry, they will break down on the way; and some of them have come a long distance.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 4] ‘Where will it be possible,’ his disciples answered, ‘to get sufficient bread for these people in this lonely place?’
[OEB | EN | NT | Mark | Chapter 8 | Verse 5] ‘How many loaves have you?’ he asked. ‘Seven,’ they answered.
[OEB | EN | NT | Mark | Chapter 8 | Verse 6] Jesus told the crowd to sit down on the ground. Then he took the seven loaves, and, after saying the thanksgiving, broke them, and gave them to his disciples to serve out; and they served them out to the crowd.
[OEB | EN | NT | Mark | Chapter 8 | Verse 7] They had also a few small fish; and, after he had said the blessing, he told the disciples to serve out these as well.
[OEB | EN | NT | Mark | Chapter 8 | Verse 8] The people had sufficient to eat, and they picked up seven baskets full of the broken pieces that were left.
[OEB | EN | NT | Mark | Chapter 8 | Verse 9] There were about four thousand people. Then Jesus dismissed them.
[OEB | EN | NT | Mark | Chapter 8 | Verse 10] Immediately afterwards, getting into the boat with his disciples, Jesus went to the district of Dalmanutha.
[OEB | EN | NT | Mark | Chapter 8 | Verse 11] Here the Pharisees came out, and began to argue with Jesus, asking him for some sign from the heavens, to test him.
[OEB | EN | NT | Mark | Chapter 8 | Verse 12] Sighing deeply, Jesus said, ‘Why does this generation ask for a sign? I tell you, no sign will be given it.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 13] So he left them to themselves, and, getting into the boat again, went away to the opposite shore.
[OEB | EN | NT | Mark | Chapter 8 | Verse 14] Now the disciples had forgotten to take any bread with them, one loaf being all that they had in the boat.
[OEB | EN | NT | Mark | Chapter 8 | Verse 15] So Jesus gave them this warning. ‘Take care,’ he said, ‘beware of the leaven of the Pharisees and the leaven of Herod.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 16] They began talking to one another about their being short of bread;
[OEB | EN | NT | Mark | Chapter 8 | Verse 17] and, noticing this, Jesus said to them, ‘Why are you talking about your being short of bread? Don’t you yet see or understand? Are your minds still so slow or comprehension?
[OEB | EN | NT | Mark | Chapter 8 | Verse 18] Though you have eyes, do you not see? And though you have ears, do you not hear? Don’t you remember,
[OEB | EN | NT | Mark | Chapter 8 | Verse 19] when I broke up the five loaves for the five thousand, how many baskets of broken pieces you picked up?’ ‘Twelve,’ they said.
[OEB | EN | NT | Mark | Chapter 8 | Verse 20] ‘And when the seven for the four thousand, how many basketfuls of broken pieces did you pick up?’ ‘Seven,’ they said.
[OEB | EN | NT | Mark | Chapter 8 | Verse 21] ‘Don’t you understand now?’ he repeated.
[OEB | EN | NT | Mark | Chapter 8 | Verse 22] They came to Bethsaida. There some people brought a blind man to Jesus, and begged him to touch him.
[OEB | EN | NT | Mark | Chapter 8 | Verse 23] Taking the blind man’s hand, Jesus led him to the outskirts of the village, and, when he had put saliva on the man’s eyes, he placed his hands on him, and asked him, ‘Do you see anything?’
[OEB | EN | NT | Mark | Chapter 8 | Verse 24] The man looked up, and said, ‘I see the people, for, as they walk about, they look to me like trees.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 25] Then Jesus again placed his hands on the man’s eyes; and the man saw clearly, his sight was restored, and he saw everything with perfect distinctness.
[OEB | EN | NT | Mark | Chapter 8 | Verse 26] Jesus sent him to his home, and said, ‘Do not go even into the village.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 27] Afterwards Jesus and his disciples went into the villages round Caesarea Philippi; and on the way he asked his disciples this question – ‘Who do people say that I am?’
[OEB | EN | NT | Mark | Chapter 8 | Verse 28] ‘John the Baptist,’ they answered, ‘but others say Elijah, while others say one of the prophets.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 29] ‘But you,’ he asked, ‘who do you say that I am?’ To this Peter replied, ‘You are the Christ.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 30] At which Jesus charged them not to say this about him to anyone.
[OEB | EN | NT | Mark | Chapter 8 | Verse 31] Then he began to teach them that the Son of Man must undergo much suffering, and that he must be rejected by the elders, and the chief priests, and the teachers of the Law, and be put to death, and rise again after three days.
[OEB | EN | NT | Mark | Chapter 8 | Verse 32] He said all this quite openly. But Peter took Jesus aside, and began to rebuke him.
[OEB | EN | NT | Mark | Chapter 8 | Verse 33] Jesus, however, turning round and seeing his disciples, rebuked Peter. ‘Out of my sight, Satan!’ he exclaimed. ‘For you look at things, not as God does, but as people do.’
[OEB | EN | NT | Mark | Chapter 8 | Verse 34] Calling the people and his disciples to him, Jesus said, ‘If anyone wishes to walk in my steps, they must renounce self, take up their cross, and follow me.
[OEB | EN | NT | Mark | Chapter 8 | Verse 35] For whoever wishes to save their life will lose it, and whoever, for my sake and for the sake of the good news, will lose their life will save it.
[OEB | EN | NT | Mark | Chapter 8 | Verse 36] What good is it to a person to gain the whole world and forfeit their life?
[OEB | EN | NT | Mark | Chapter 8 | Verse 37] For what could a person give that is of equal value with their life?
[OEB | EN | NT | Mark | Chapter 8 | Verse 38] Whoever is ashamed of me and of my teaching, in this unfaithful and wicked generation, of them will the Son of Man be ashamed, when he comes in his Father’s glory with the holy angels.’
