[ERV | EN | OT | Psalms | Chapter 51 | Verse 1] Have mercy upon me, O God, according to thy lovingkindness; according to the multitude of thy tender mercies blot out my transgressions.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me throughly from mine iniquity, and cleanse me from my sin.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 3] For I acknowledge my transgressions: and my sin is ever before me.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 4] Against thee, thee only, have I sinned, and done that which is evil in thy sight: that thou mayest be justified when thou speakest, and be clear when thou judgest.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 5] Behold, I was shapen in iniquity; and in sin did my mother conceive me.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 6] Behold, thou desirest truth in the inward parts: and in the hidden part thou shalt make me to know wisdom.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 7] Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 8] Make me to hear joy and gladness; that the bones which thou hast broken may rejoice.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 9] Hide thy face from my sins, and blot out all mine iniquities.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God; and renew a right spirit within me.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 11] Cast me not away from thy presence; and take not thy holy spirit from me.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 12] Restore unto me the joy of thy salvation: and uphold me with a free spirit.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 13] Then will I teach transgressors thy ways; and sinners shall be converted unto thee.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from bloodguiltiness, O God, thou God of my salvation; and my tongue shall sing aloud of thy righteousness.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 15] O Lord, open thou my lips; and my mouth shall shew forth thy praise.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 16] For thou delightest not in sacrifice; else would I give it: thou hast no pleasure in burnt offering.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit: a broken and a contrite heart, O God, thou wilt not despise.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 18] Do good in thy good pleasure unto Zion: build thou the walls of Jerusalem.
[ERV | EN | OT | Psalms | Chapter 51 | Verse 19] Then shalt thou delight in the sacrifices of righteousness, in burnt offering and whole burnt offering: then shall they offer bullocks upon thine altar.
