[ERV | EN | OT | Psalms | Chapter 69 | Verse 1] Save me, O God; for the waters are come in unto my soul.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 2] I sink in deep mire, where there is no standing: I am come into deep waters, where the floods overflow me.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 3] I am weary with my crying; my throat is dried: mine eyes fail while I wait for my God.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 4] They that hate me without a cause are more than the hairs of mine head: they that would cut me off, being mine enemies wrongfully, are mighty: then I restored that which I took not away.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 5] O God, thou knowest my foolishness; and my sins are not hid from thee.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 6] Let not them that wait on thee be ashamed through me, O Lord GOD of hosts: let not those that seek thee be brought to dishonour through me, O God of Israel.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 7] Because for thy sake I have borne reproach; shame hath covered my face.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 8] I am become a stranger unto my brethren, and an alien unto my mother’s children.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 9] For the zeal of thine house hath eaten me up; and the reproaches of them that reproach thee are fallen upon me.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 10] When I wept, and chastened my soul with fasting, that was to my reproach.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 11] When I made sackcloth my clothing, I became a proverb unto them.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 12] They that sit in the gate talk of me; and I am the song of the drunkards.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 13] But as for me, my prayer is unto thee, O LORD, in an acceptable time: O God, in the multitude of thy mercy, answer me in the truth of thy salvation.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 14] Deliver me out of the mire, and let me not sink: let me be delivered from them that hate me, and out of the deep waters.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 15] Let not the waterflood overwhelm me, neither let the deep swallow me up; and let not the pit shut her mouth upon me.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 16] Answer me, O LORD; for thy lovingkindness is good: according to the multitude of thy tender mercies turn thou unto me.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 17] And hide not thy face from thy servant; for I am in distress; answer me speedily.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 18] Draw nigh unto my soul, and redeem it: ransom me because of mine enemies.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 19] Thou knowest my reproach, and my shame, and my dishonour: mine adversaries are all before thee.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 20] Reproach hath broken my heart; and I am full of heaviness: and I looked for some to take pity, but there was none; and for comforters, but I found none.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 21] They gave me also gall for my meat; and in my thirst they gave me vinegar to drink.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 22] Let their table before them become a snare; and when they are in peace, let it become a trap.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 23] Let their eyes be darkened, that they see not; and make their loins continually to shake.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 24] Pour out thine indignation upon them, and let the fierceness of thine anger overtake them.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 25] Let their habitation be desolate; let none dwell in their tents.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 26] For they persecute him whom thou hast smitten; and they tell of the sorrow of those whom thou hast wounded,
[ERV | EN | OT | Psalms | Chapter 69 | Verse 27] Add iniquity unto their iniquity: and let them not come into thy righteousness.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 28] Let them be blotted out of the book of life, and not be written with the righteous.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 29] But I am poor and sorrowful: let thy salvation, O God, set me up on high.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 30] I will praise the name of God with a song, and will magnify him with thanksgiving.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 31] And it shall please the LORD better than an ox, or a bullock that hath horns and hoofs.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 32] The meek have seen it, and are glad: ye that seek after God, let your heart live.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 33] For the LORD heareth the needy, and despiseth not his prisoners.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 34] Let heaven and earth praise him, the seas, and every thing that moveth therein.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 35] For God will save Zion, and build the cities of Judah; and they shall abide there, and have it in possession.
[ERV | EN | OT | Psalms | Chapter 69 | Verse 36] The seed also of his servants shall inherit it; and they that love his name shall dwell therein.
