[ERV | EN | OT | Psalms | Chapter 107 | Verse 1] O GIVE thanks unto the LORD; for he is good: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 2] Let the redeemed of the LORD say so, whom he hath redeemed from the hand of the adversary;
[ERV | EN | OT | Psalms | Chapter 107 | Verse 3] And gathered them out of the lands, from the east and from the west, from the north and from the south.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 4] They wandered in the wilderness in a desert way; they found no city of habitation.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 5] Hungry and thirsty, their soul fainted in them.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 6] Then they cried unto the LORD in their trouble, and he delivered them out of their distresses.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 7] He led them also by a straight way, that they might go to a city of habitation.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 8] Oh that men would praise the LORD for his goodness, and for his wonderful works to the children of men!
[ERV | EN | OT | Psalms | Chapter 107 | Verse 9] For he satisfieth the longing soul, and the hungry soul he filleth with good.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 10] Such as sat in darkness and in the shadow of death, being bound in affliction and iron;
[ERV | EN | OT | Psalms | Chapter 107 | Verse 11] Because they rebelled against the words of God, and contemned the counsel of the Most High:
[ERV | EN | OT | Psalms | Chapter 107 | Verse 12] Therefore he brought down their heart with labour; they fell down, and there was none to help.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 13] Then they cried unto the LORD hi their trouble, and he saved them out of their distresses.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 14] He brought them out of darkness and the shadow of death, and brake their bands in sunder.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 15] Oh that men would praise the LORD for his goodness, and for his wonderful works to the children of men!
[ERV | EN | OT | Psalms | Chapter 107 | Verse 16] For he hath broken the gates of brass, and cut the bars of iron in sunder.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 17] Fools because of their transgression, and because of their iniquities, are afflicted.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 18] Their soul abhorreth all manner of meat; and they draw near unto the gates of death.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 19] Then they cry unto the LORD in their trouble, and he saveth them out of their distresses.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 20] He sendeth his word, and healeth them, and delivereth them from their destructions.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 21] Oh that men would praise the LORD for his goodness, and for his wonderful works to the children of men!
[ERV | EN | OT | Psalms | Chapter 107 | Verse 22] And let them offer the sacrifices of thanksgiving, and declare his works with singing.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 23] They that go down to the sea in ships, that do business in great waters;
[ERV | EN | OT | Psalms | Chapter 107 | Verse 24] These see the works of the LORD, and his wonders in the deep.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 25] For he commandeth, and raiseth the stormy wind, which lifteth up the waves thereof.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 26] They mount up to the heaven, they go down again to the depths: their soul melteth away because of trouble.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 27] They reel to and fro, and stagger like a drunken man, and are at their wits’ end.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 28] Then they cry unto the LORD in their trouble, and he bringeth them out of their distresses.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 29] He maketh the storm a calm, so that the waves thereof are still.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 30] Then are they glad because they be quiet: so he bringeth them unto the haven where they would be.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 31] Oh that men would praise the LORD for his goodness, and for his wonderful works to the children of men!
[ERV | EN | OT | Psalms | Chapter 107 | Verse 32] Let them exalt him also in the assembly of the people, and praise him in the seat of the elders.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 33] He turneth rivers into a wilderness, and watersprings into a thirsty ground;
[ERV | EN | OT | Psalms | Chapter 107 | Verse 34] A fruitful land into a salt desert, for the wickedness of them that dwell therein.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 35] He turneth a wilderness into a pool of water, and a dry land into watersprings.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 36] And there he maketh the hungry to dwell, that they may prepare a city of habitation;
[ERV | EN | OT | Psalms | Chapter 107 | Verse 37] And sow fields, and plant vineyards, and get them fruits of increase.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 38] He blesseth them also, so that they are multiplied greatly; and he suffereth not their cattle to decrease.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 39] Again, they are minished and bowed down through oppression, trouble, and sorrow.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 40] He poureth contempt upon princes, and causeth them to wander in the waste, where there is no way.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 41] Yet setteth he the needy on high from affliction, and maketh him families like a flock.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 42] The upright shall see it, and be glad; and all iniquity shall stop her mouth.
[ERV | EN | OT | Psalms | Chapter 107 | Verse 43] Whoso is wise shall give heed to these things, and they shall consider the mercies of the LORD.
