[ERV | EN | OT | Psalms | Chapter 9 | Verse 1] I will give thanks unto the LORD with my whole heart; I will shew forth all thy marvelous works.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and exult in thee: I will sing praise to thy name, O thou Most High.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 3] When mine enemies turn back, they stumble and perish at thy presence.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 4] For thou hast maintained my right and my cause; thou satest in the throne judging righteously.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 5] Thou hast rebuked the nations, thou hast destroyed the wicked, thou hast blotted out their name for ever and ever.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 6] The enemy are come to an end, they are desolate for ever; and the cities which thou hast overthrown, their very memorial is perished.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 7] But the LORD sitteth as king for ever: he hath prepared his throne for judgment.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 8] And he shall judge the world in righteousness, he shall minister judgment to the peoples in uprightness.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 9] The LORD also will be a high tower for the oppressed, a high tower in times of trouble;
[ERV | EN | OT | Psalms | Chapter 9 | Verse 10] And they that know thy name will put their trust in thee; for thou, LORD, hast not forsaken them that seek thee.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 11] Sing praises to the LORD, which dwelleth in Zion: declare among the people his doings.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 12] For he that maketh inquisition for blood remembereth them: he forgetteth not the cry of the poor.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 13] Have mercy upon me, O LORD; behold my affliction which I suffer of them that hate me, thou that liftest me up from the gates of death;
[ERV | EN | OT | Psalms | Chapter 9 | Verse 14] That I may shew forth all thy praise: in the gates of the daughter of Zion, I will rejoice in thy salvation.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 15] The nations are sunk down in the pit that they made: in the net which they hid is their own foot taken.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 16] The LORD hath made himself known, he hath executed judgment: the wicked is snared in the work of his own hands. Higaion. Selah
[ERV | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked shall return to Sheol, even all the nations that forget God.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 18] For the needy shall not alway be forgotten, nor the expectation of the poor perish for ever.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 19] Arise, O LORD; let not man prevail: let the nations be judged in thy sight.
[ERV | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in fear, O LORD: let the nations know themselves to be but men. Selah
