[ERV | EN | OT | Psalms | Chapter 85 | Verse 1] LORD, Thou hast been favourable unto thy land: thou hast brought back the captivity of Jacob.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 2] Thou hast forgiven the iniquity of thy people, thou hast covered all their sin. Selah
[ERV | EN | OT | Psalms | Chapter 85 | Verse 3] Thou hast taken away all thy wrath: thou hast turned thyself from the fierceness of thine anger.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 4] Turn us, O God of our salvation, and cause thine indignation toward us to cease.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 5] Wilt thou be angry with us for ever? wilt thou draw out thine anger to all generations?
[ERV | EN | OT | Psalms | Chapter 85 | Verse 6] Wilt thou not quicken us again: that thy people may rejoice in thee?
[ERV | EN | OT | Psalms | Chapter 85 | Verse 7] Shew us thy mercy, O LORD, and grant us thy salvation.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 8] I will hear what God the LORD will speak: for he will speak peace unto his people, and to his saints: but let them not turn again to folly.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 9] Surely his salvation is nigh them that fear him; that glory may dwell in our land.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 10] Mercy and truth are met together; righteousness and peace have kissed each other.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 11] Truth springeth out of the earth; and righteousness hath looked down from heaven.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 12] Yea, the LORD shall give that which is good; and our land shall yield her increase.
[ERV | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness shall go before him; and shall make his footsteps a way to walk in.
