[ERV | EN | OT | Psalms | Chapter 136 | Verse 1] O GIVE thanks unto the LORD; for he is good: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 2] O give thanks unto the God of gods: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 3] O give thanks unto the Lord of lords: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 4] To him who alone doeth great wonders: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 5] To him that by understanding made the heavens: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 6] To him that spread forth the earth above the waters: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 7] To him that made great lights: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 8] The sun to rule by day: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 9] The moon and stars to rule by night: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 10] To him that smote Egypt in their firstborn: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 11] And brought out Israel from among them: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 12] With a strong hand, and with a stretched out arm: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 13] To him which divided the Red Sea in sunder: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 14] And made Israel to pass through the midst of it: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 15] But overthrew Pharaoh and his host in the Red Sea: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 16] To him which led his people through the wilderness: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 17] To him which smote great kings: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 18] And slew famous kings: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon king of the Amorites: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 20] And Og king of Bashan: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 21] And gave their land for an heritage: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 22] Even an heritage unto Israel his servant: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 23] Who remembered us in our low estate: for his mercy endureth for ever:
[ERV | EN | OT | Psalms | Chapter 136 | Verse 24] And hath delivered us from our adversaries: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 25] He giveth food to all flesh: for his mercy endureth for ever.
[ERV | EN | OT | Psalms | Chapter 136 | Verse 26] O give thanks unto the God of heaven: for his mercy endureth for ever.
