[ERV | EN | OT | Psalms | Chapter 30 | Verse 1] I will extol thee, O LORD; for thou hast raised me up, and hast not made my foes to rejoice over me.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 2] O LORD my God, I cried unto thee, and thou hast healed me.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 3] O LORD, thou hast brought up my soul from Sheol: thou hast kept me alive, that I should not go down to the pit.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 4] Sing praise unto the LORD, O ye saints of his, and give thanks to his holy name.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 5] For his anger is but for a moment; in his favour is life: weeping may tarry for the night, but joy cometh in the morning.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 6] As for me, I said in my prosperity, I shall never be moved.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 7] Thou, LORD, of thy favour hadst made my mountain to stand strong: thou didst hide thy face; I was troubled.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 8] I cried to thee, O LORD; and unto the LORD I made supplication:
[ERV | EN | OT | Psalms | Chapter 30 | Verse 9] What profit is there in my blood, when I go down to the pit? Shall the dust praise thee? shall it declare thy truth?
[ERV | EN | OT | Psalms | Chapter 30 | Verse 10] Hear, O LORD, and have mercy upon me: LORD, be thou my helper.
[ERV | EN | OT | Psalms | Chapter 30 | Verse 11] Thou hast turned for me my mourning into dancing; thou hast loosed my sackcloth, and girded me with gladness:
[ERV | EN | OT | Psalms | Chapter 30 | Verse 12] To the end that my glory may sing praise to thee, and not be silent. O LORD my God, I will give thanks unto thee for ever.
