[ERV | EN | OT | Psalms | Chapter 46 | Verse 1] God is our refuge and strength, a very present help in trouble.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 2] Therefore will we not fear, though the earth do change, and though the mountains be moved in the heart of the seas;
[ERV | EN | OT | Psalms | Chapter 46 | Verse 3] Though the waters thereof roar and be troubled, though the mountains shake with the swelling thereof. Selah
[ERV | EN | OT | Psalms | Chapter 46 | Verse 4] There is a river, the streams whereof make glad the city of God, the holy place of the tabernacles of the Most High.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 5] God is in the midst of her; she shall not be moved: God shall help her, and that right early.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 6] The nations raged, the kingdoms were moved: he uttered his voice, the earth melted.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 7] The LORD of hosts is with us; the God of Jacob is our refuge. Selah
[ERV | EN | OT | Psalms | Chapter 46 | Verse 8] Come, behold the works of the LORD, what desolations he hath made in the earth.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 9] He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariots in the fire.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 10] Be still, and know that I am God: I will be exalted among the nations, I will be exalted in the earth.
[ERV | EN | OT | Psalms | Chapter 46 | Verse 11] The LORD of hosts is with us; the God of Jacob is our refuge. Selah
