[ERV | EN | OT | Psalms | Chapter 57 | Verse 1] Be merciful unto me, O God, be merciful unto me; for my soul taketh refuge in thee: yea, in the shadow of thy wings will I take refuge, until these calamities be overpast.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 2] I will cry unto God Most High; unto God that performeth all things for me.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 3] He shall send from heaven, and save me, when he that would swallow me up reproacheth; Selah God shall send forth his mercy and his truth.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 4] My soul is among lions; I lie among them that are set on fire, even the sons of men, whose teeth are spears and arrows, and their tongue a sharp sword.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 5] Be thou exalted, O God, above the heavens; let thy glory be above all the earth.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 6] They have prepared a net for my steps; thy soul is bowed down: they have digged a pit before me; they are fallen into the midst thereof themselves. Selah
[ERV | EN | OT | Psalms | Chapter 57 | Verse 7] My heart is fixed, O God, my heart is fixed: I will sing, yea, I will sing praises.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 8] Awake up, my glory; awake, psaltery and harp: I myself will awake right early.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 9] I will give thanks unto thee, O Lord, among the peoples: I will sing praises unto thee among the nations.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 10] For thy mercy is great unto the heavens, and thy truth unto the skies.
[ERV | EN | OT | Psalms | Chapter 57 | Verse 11] Be thou exalted, O God, above the heavens; let thy glory be above all the earth.
