[ERV | EN | OT | Psalms | Chapter 143 | Verse 1] Hear my prayer, O LORD; give ear to my supplications: in thy faithfulness answer me, and in thy righteousness.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 2] And enter not into judgment with thy servant; for in thy sight shall no man living be justified.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 3] For the enemy hath persecuted my soul; he hath smitten my life down to the ground: he hath made me to dwell in dark places, as those that have been long dead.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 4] Therefore is my spirit overwhelmed within me; my heart within me is desolate.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 5] I remember the days of old; I meditate on all thy doings: I muse on the work of thy hands.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 6] I spread forth my hands unto thee: my soul thirsteth after thee, as a weary land. \+w Selah\+w*
[ERV | EN | OT | Psalms | Chapter 143 | Verse 7] Make haste to answer me, O LORD; my spirit faileth: hide not thy face from me; lest I become like them that go down into the pit.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 8] Cause me to hear thy lovingkindness in the morning; for in thee do I trust: cause me to know the way wherein I should walk; for I lift up my soul unto thee.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 9] Deliver me, O LORD, from mine enemies: I flee unto thee to hide me.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 10] Teach me to do thy will; for thou art my God: thy spirit is good; lead me in the land of uprightness.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 11] Quicken me, O LORD, for thy name’s sake: in thy righteousness bring my soul out of trouble.
[ERV | EN | OT | Psalms | Chapter 143 | Verse 12] And in thy lovingkindness cut off mine enemies, and destroy all them that afflict my soul; for I am thy servant.
