[ERV | EN | OT | Psalms | Chapter 25 | Verse 1] Unto thee, O LORD, do I lift up my soul.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 2] O my God, in thee have I trusted, let me not be ashamed; let not mine enemies triumph over me.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 3] Yea, none that wait on thee shall be ashamed: they shall be ashamed that deal treacherously without cause.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 4] Shew me thy ways, O LORD; teach me thy paths.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 5] Guide me in thy truth, and teach me; for thou art the God of my salvation; on thee do I wait all the day.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 6] Remember, O LORD, thy tender mercies and thy lovingkindnesses; for they have been ever of old.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 7] Remember not the sins of my youth, nor my transgressions: according to thy lovingkindness remember thou me, for thy goodness’ sake, O LORD.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 8] Good and upright is the LORD: therefore will he instruct sinners in the way.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 9] The meek will he guide in judgment: and the meek will he teach his way.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 10] All the paths of the LORD are lovingkindness and truth unto such as keep his covenant and his testimonies.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 11] For thy name’s sake, O LORD, pardon mine iniquity, for it is great.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 12] What man is he that feareth the LORD? him shall he instruct in the way that he shall choose.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 13] His soul shall dwell at ease; and his seed shall inherit the land.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 14] The secret of the LORD is with them that fear him; and he will shew them his covenant.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 15] Mine eyes are ever toward the LORD; for he shall pluck my feet out of the net.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 16] Turn thee unto me, and have mercy upon me; for I am desolate and afflicted.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 17] The troubles of my heart are enlarged: O bring thou me out of my distresses.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 18] Consider mine affliction and my travail; and forgive all my sins.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 19] Consider mine enemies, for they are many; and they hate me with cruel hatred.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 20] O keep my soul, and deliver me: let me not be ashamed, for I put my trust in thee.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 21] Let integrity and uprightness preserve me, for I wait on thee.
[ERV | EN | OT | Psalms | Chapter 25 | Verse 22] Redeem Israel, O God, out of all his troubles.
