[ERV | EN | OT | Psalms | Chapter 73 | Verse 1] Surely God is good to Israel, even to such as are pure in heart.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 2] But as for me, my feet were almost gone; my steps had well nigh slipped.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 3] For I was envious at the arrogant, when I saw the prosperity of the wicked.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 4] For there are no bands in their death: but their strength is firm.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 5] They are not in trouble as other men; neither are they plagued like other men.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 6] Therefore pride is as a chain about their neck; violence covereth them as a garment.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 7] Their eyes stand out with fatness: they have more than heart could wish.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 8] They scoff, and in wickedness utter oppression: they speak loftily.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 9] They have set their mouth in the heavens, and their tongue walketh through the earth.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 10] Therefore his people return hither: and waters of a full cup are wrung out by them.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 11] And they say, How doth God know? and is there knowledge in the Most High?
[ERV | EN | OT | Psalms | Chapter 73 | Verse 12] Behold, these are the wicked; and, being alway at ease, they increase in riches.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 13] Surely in vain have I cleansed my heart, and washed my hands in innocency;
[ERV | EN | OT | Psalms | Chapter 73 | Verse 14] For all the day long have I been plagued, and chastened every morning.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 15] If I had said, I will speak thus; behold, I had dealt treacherously with the generation of thy children.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 16] When I thought how I might know this, it was too painful for me;
[ERV | EN | OT | Psalms | Chapter 73 | Verse 17] Until I went into the sanctuary of God, and considered their latter end.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 18] Surely thou settest them in slippery places: thou castest them down to destruction.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 19] How are they become a desolation in a moment! they are utterly consumed with terrors.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 20] As a dream when one awaketh; so, O Lord, when thou awakest, thou shalt despise their image.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 21] For my heart was grieved, and I was pricked in my reins:
[ERV | EN | OT | Psalms | Chapter 73 | Verse 22] So brutish was I, and ignorant; I was as a beast before thee.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 23] Nevertheless I am continually with thee: thou hast holden my right hand.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 24] Thou shalt guide me with thy counsel, and afterward receive me to glory.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 25] Whom have I in heaven but thee? and there is none upon earth that I desire beside thee.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 26] My flesh and my heart faileth: but God is the strength of my heart and my portion for ever.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 27] For, lo, they that are far from thee shall perish: thou hast destroyed all them that go a whoring from thee.
[ERV | EN | OT | Psalms | Chapter 73 | Verse 28] But it is good for me to draw near unto God: I have made the Lord GOD my refuge, that I may tell of all thy works.
