[ERV | EN | OT | Psalms | Chapter 48 | Verse 1] Great is the LORD, and highly to be praised, in the city of our God, in his holy mountain.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 2] Beautiful in elevation, the joy of the whole earth, is mount Zion, on the sides of the north, the city of the great King.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 3] God hath made himself known in her palaces for a refuge.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 4] For, lo, the kings assembled themselves, they passed by together.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 5] They saw it, then were they amazed; they were dismayed, they hasted away.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 6] Trembling took hold of them there; pain, as of a woman in travail.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 7] With the east wind thou breakest the ships of Tarshish.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 8] As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah
[ERV | EN | OT | Psalms | Chapter 48 | Verse 9] We have thought on thy lovingkindness, O God, in the midst of thy temple.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 10] As is thy name, O God, so is thy praise unto the ends of the earth: thy right hand is full of righteousness.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 11] Let mount Zion be glad, let the daughters of Judah rejoice, because of thy judgments.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 12] Walk about Zion, and go round about her: tell the towers thereof.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 13] Mark ye welt her bulwarks, consider her palaces; that ye may tell it to the generation following.
[ERV | EN | OT | Psalms | Chapter 48 | Verse 14] For this God is our God for ever and ever: he will be our guide even unto death.
