[ERV | EN | OT | Psalms | Chapter 96 | Verse 1] O SING unto the LORD a new song: sing unto the LORD, all the earth.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 2] Sing unto the LORD, bless his name; shew forth his salvation from day to day.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 3] Declare his glory among the nations, his marvelous works among all the peoples.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 4] For great is the LORD, and highly to be praised: he is to be feared above all gods.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 5] For all the gods of the peoples are idols: but the LORD made the heavens.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 6] Honour and majesty are before him: strength and beauty are in his sanctuary.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 7] Give unto the LORD, ye kindreds of the peoples, give unto the LORD glory and strength.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 8] Give unto the LORD the glory due unto his name: bring an offering, and come into his courts.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 9] O worship the LORD in the beauty of holiness: tremble before him, all the earth.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 10] Say among the nations, The LORD reigneth: the world also is stablished that it cannot be moved: he shall judge the peoples with equity.
[ERV | EN | OT | Psalms | Chapter 96 | Verse 11] Let the heavens be glad, and let the earth rejoice; let the sea roar, and the fulness thereof;
[ERV | EN | OT | Psalms | Chapter 96 | Verse 12] Let the field exult, and all that is therein; then shall all the trees of the wood sing for joy;
[ERV | EN | OT | Psalms | Chapter 96 | Verse 13] Before the LORD, for he cometh; for he cometh to judge the earth: he shall judge the world with righteousness, and the peoples with his truth.
