[ERV | EN | OT | Psalms | Chapter 29 | Verse 1] Give unto the LORD, O ye sons of the mighty, give unto the LORD glory and strength.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 2] Give unto the LORD the glory due unto his name; worship the LORD in the beauty of holiness.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 3] The voice of the LORD is upon the waters: the God of glory thundereth, even the LORD upon many waters.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 4] The voice of the LORD is powerful; the voice of the LORD is full of majesty.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 5] The voice of the LORD breaketh the cedars; yea, the LORD breaketh in pieces the cedars of Lebanon.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 6] He maketh them also to skip like a calf; Lebanon and Sirion like a young wild-ox.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 7] The voice of the LORD cleaveth the flames of fire.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 8] The voice of the LORD shaketh the wilderness; the LORD shaketh the wilderness of Kadesh.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 9] The voice of the LORD maketh the hinds to calve, and strippeth the forests bare: and in his temple every thing saith, Glory.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 10] The LORD sat as king at the Flood; yea, the LORD sitteth as king for ever.
[ERV | EN | OT | Psalms | Chapter 29 | Verse 11] The LORD will give strength unto his people; the LORD will bless his people with peace.
