[ERV | EN | OT | Psalms | Chapter 145 | Verse 1] I will extol thee, my God, O King; and I will bless thy name for ever and ever.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 2] Every day will I bless thee; and I will praise thy name for ever and ever.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the LORD, and highly to be praised; and his greatness is unsearchable.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 4] One generation shall laud thy works to another, and shall declare thy mighty acts.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 5] Of the glorious majesty of thine honour, and of thy wondrous works, will I meditate.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 6] And men shall speak of the might of thy terrible acts; and I will declare thy greatness.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 7] They shall utter the memory of thy great goodness, and shall sing of thy righteousness.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 8] The LORD is gracious, and full of compassion; slow to anger, and of great mercy.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 9] The LORD is good to all; and his tender mercies are over all his works.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 10] All thy works shall give thanks unto thee, O LORD; and thy saints shall bless thee.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 11] They shall speak of the glory of thy kingdom, and talk of thy power;
[ERV | EN | OT | Psalms | Chapter 145 | Verse 12] To make known to the sons of men his mighty acts, and the glory of the majesty of his kingdom.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdom is an everlasting kingdom, and thy dominion endureth throughout all generations.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 14] The LORD upholdeth all that fall, and raiseth up all those that be bowed down.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all wait upon thee; and thou givest them their meat in due season.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 16] Thou openest thine hand, and satisfiest the desire of every living thing.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 17] The LORD is righteous in all his ways, and gracious in all his works.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 18] The LORD is nigh unto all them that call upon him, to all that call upon him in truth.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 19] He will fulfill the desire of them that fear him; he also will hear their cry, and will save them.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 20] The LORD preserveth all them that love him; but all the wicked will he destroy.
[ERV | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth shall speak the praise of the LORD; and let all flesh bless his holy name for ever and ever.
