[ERV | EN | OT | Psalms | Chapter 19 | Verse 1] The heavens declare the glory of God; and the firmament sheweth his handywork.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 2] Day unto day uttereth speech, and night unto night sheweth knowledge.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 3] There is no speech nor language; their voice cannot be heard.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 4] Their line is gone out through all the earth, and their words to the end of the world. In them hath he set a tabernacle for the sun,
[ERV | EN | OT | Psalms | Chapter 19 | Verse 5] Which is as a bridegroom coming out of his chamber, and rejoiceth as a strong man to run his course.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 6] His going forth is from the end of the heaven, and his circuit unto the ends of it: and there is nothing hid from the heat thereof.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 7] The law of the LORD is perfect, restoring the soul: the testimony of the LORD is sure, making wise the simple.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 8] The precepts of the LORD are right, rejoicing the heart: the commandment of the LORD is pure, enlightening the eyes.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 9] The fear of the LORD is clean, enduring for ever: the judgments of the LORD are true, and righteous altogether.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 10] More to be desired are they than gold, yea, than much fine gold: sweeter also than honey and the honeycomb.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 11] Moreover by them is thy servant warned: in keeping of them there is great reward.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 12] Who can discern his errors? clear thou me from hidden faults.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 13] Keep back thy servant also from presumptuous sins; let them not have dominion over me: then shall I be perfect, and I shall be clear from great transgression.
[ERV | EN | OT | Psalms | Chapter 19 | Verse 14] Let the words of my mouth and the meditation of my heart be acceptable in thy sight, O LORD, my rock, and my redeemer.
