[ERV | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law; incline your ears to the words of my mouth.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 2] I will open my mouth in a parable; I will utter dark sayings of old:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 3] Which we have heard and known, and our fathers have told us.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 4] We will not hide them from their children, telling to the generation to come the praises of the LORD, and his strength, and his wondrous works that he hath done.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 5] For he established a testimony in Jacob, and appointed a law in Israel, which he commanded our fathers, that they should make them known to their children:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 6] That the generation to come might know them, even the children which should be born; who should arise and tell them to their children:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 7] That they might set their hope in God, and not forget the works of God, but keep his commandments:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 8] And might not be as their fathers, a stubborn and rebellious generation; a generation that set not their heart aright, and whose spirit was not stedfast with God.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 9] The children of Ephraim, being armed and carrying bows, turned back in the day of battle.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 10] They kept not the covenant of God, and refused to walk in his law;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 11] And they forgat his doings, and his wondrous works that he had shewed them.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 12] Marvelous things did he in the sight of their fathers, in the land of Egypt, in the field of Zoan.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 13] He clave the sea, and caused them to pass through; and he made the waters to stand as an heap.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 14] In the day-time also he led them with a cloud, and all the night with a light of fire.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 15] He clave rocks in the wilderness, and gave them drink abundantly as out of the depths.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 16] He brought streams also out of the rock, and caused waters to run down like rivers.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 17] Yet went they on still to sin against him, to rebel against the Most High in the desert.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 18] And they tempted God in their heart by asking meat for their lust.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 19] Yea, they spake against God; they said, Can God prepare a table in the wilderness?
[ERV | EN | OT | Psalms | Chapter 78 | Verse 20] Behold, he smote the rock, that waters gushed out, and streams overflowed; can he give bread also? will he provide flesh for his people?
[ERV | EN | OT | Psalms | Chapter 78 | Verse 21] Therefore the LORD heard, and was wroth: and a fire was kindled against Jacob, and anger also went up against Israel;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 22] Because they believed not in God, and trusted not in his salvation.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 23] Yet he commanded the skies above, and opened the doors of heaven;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 24] And he rained down manna upon them to eat, and gave them of the corn of heaven.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 25] Man did eat the bread of the mighty: he sent them meat to the full.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 26] He caused the east wind to blow in the heaven: and by his power he guided the south wind.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 27] He rained flesh also upon them as the dust, and winged fowl as the sand of the seas:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 28] And he let it fall in the midst of their camp, round about their habitations.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 29] So they did eat, and were well filled; and he gave them that they lusted after.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 30] They were not estranged from their lust, their meat was yet in their mouths,
[ERV | EN | OT | Psalms | Chapter 78 | Verse 31] When the anger of God went up against them, and slew of the fattest of them, and smote down the young men of Israel.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 32] For all this they sinned still, and believed not in his wondrous works.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 33] Therefore their days did he consume in vanity, and their years in terror.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 34] When he slew them, then they inquired after him: and they returned and sought God early.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 35] And they remembered that God was their rock, and the Most High God their redeemer.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 36] But they flattered him with their mouth, and lied unto him with their tongue.
