[ERV | EN | OT | Psalms | Chapter 92 | Verse 1] It is a good thing to give thanks unto the LORD, and to sing praises unto thy name, O Most High:
[ERV | EN | OT | Psalms | Chapter 92 | Verse 2] To shew forth thy lovingkindness in the morning, and thy faithfulness every night,
[ERV | EN | OT | Psalms | Chapter 92 | Verse 3] With an instrument of ten strings, and with the psaltery; with a solemn sound upon the harp.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 4] For thou, LORD, hast made me glad through thy work: I will triumph in the works of thy hands.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 5] How great are thy works, O LORD! thy thoughts are very deep.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 6] A brutish man knoweth not; neither doth a fool understand this:
[ERV | EN | OT | Psalms | Chapter 92 | Verse 7] When the wicked spring as the grass, and when all the workers of iniquity do flourish; it is that they shall be destroyed for ever:
[ERV | EN | OT | Psalms | Chapter 92 | Verse 8] But thou, O LORD, art on high for evermore.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 9] For, lo, thine enemies, O LORD, for, lo, thine enemies shall perish; all the workers of iniquity shall be scattered.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 10] But my horn hast thou exalted like the horn of the wild-ox: I am anointed with fresh oil.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 11] Mine eye also hath seen my desire on mine enemies, mine ears have heard my desire of the evil-doers that rise up against me.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous shall flourish like the palm tree: he shall grow like a cedar in Lebanon.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 13] They that are planted in the house of the LORD shall flourish in the courts of our God.
[ERV | EN | OT | Psalms | Chapter 92 | Verse 14] They shall still bring forth fruit in old age; they shall be full of sap and green:
[ERV | EN | OT | Psalms | Chapter 92 | Verse 15] To shew that the LORD is upright; he is my rock, and there is no unrighteousness in him.
