[ERV | EN | OT | Psalms | Chapter 33 | Verse 1] Rejoice in the LORD, O ye righteous: praise is comely for the upright.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 2] Give thanks unto the LORD with harp: sing praises unto him with the psaltery of ten strings.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 3] Sing unto him a new song; play skilfully with a loud noise.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 4] For the word of the LORD is right; and all his work is done in faithfulness.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 5] He loveth righteousness and judgment: the earth is full of the lovingkindness of the LORD.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 6] By the word of the LORD were the heavens made; and all the host of them by the breath of his mouth.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 7] He gathereth the waters of the sea together as an heap: he layeth up the deeps in storehouses.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 8] Let all the earth fear the LORD: let all the inhabitants of the world stand in awe of him.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 9] For he spake, and it was done; he commanded, and it stood fast.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 10] The LORD bringeth the counsel of the nations to nought: he maketh the thoughts of the peoples to be of none effect.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 11] The counsel of the LORD standeth fast for ever, the thoughts of his heart to all generations.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 12] Blessed is the nation whose God is the LORD; the people whom he hath chosen for his own inheritance.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 13] The LORD looketh from heaven; he beholdeth all the sons of men;
[ERV | EN | OT | Psalms | Chapter 33 | Verse 14] From the place of his habitation he looketh forth upon all the inhabitants of the earth;
[ERV | EN | OT | Psalms | Chapter 33 | Verse 15] He that fashioneth the hearts of them all, that considereth all their works.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 16] There is no king saved by the multitude of an host: a mighty man is not delivered by great strength.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 17] An horse is a vain thing for safety: neither shall he deliver any by his great power.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 18] Behold, the eye of the LORD is upon them that fear him, upon them that hope in his mercy;
[ERV | EN | OT | Psalms | Chapter 33 | Verse 19] To deliver their soul from death, and to keep them alive in famine.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 20] Our soul hath waited for the LORD: he is our help and our shield.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 21] For our heart shall rejoice in him, because we have trusted in his holy name.
[ERV | EN | OT | Psalms | Chapter 33 | Verse 22] Let thy mercy, O LORD, be upon us, according as we have hoped in thee.
