[ERV | EN | OT | Psalms | Chapter 65 | Verse 1] Praise waiteth for thee, O God, in Zion: and unto thee shall the vow be performed.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 2] O thou that hearest prayer, unto thee shall all flesh come.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 3] Iniquities prevail against me: as for our transgressions, thou shalt purge them away.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 4] Blessed is the man whom thou choosest, and causest to approach unto thee, that he may dwell in thy courts: we shall be satisfied with the goodness of thy house, the holy place of thy temple.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 5] By terrible things thou wilt answer us in righteousness, O God of our salvation; thou that art the confidence of all the ends of the earth, and of them that are afar off upon the sea:
[ERV | EN | OT | Psalms | Chapter 65 | Verse 6] Which by his strength setteth fast the mountains; being girded about with might:
[ERV | EN | OT | Psalms | Chapter 65 | Verse 7] Which stilleth the roaring of the seas, the roaring of their waves, and the tumult of the peoples.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 8] They also that dwell in the uttermost parts are afraid at thy tokens: thou makest the outgoings of the morning and evening to rejoice.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 9] Thou visitest the earth, and waterest it, thou greatly enrichest it; the river of God is full of water: thou providest them corn, when thou hast so prepared the earth.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 10] Thou waterest her furrows abundantly; thou settlest the ridges thereof: thou makest it soft with showers; thou blessest the springing thereof.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 11] Thou crownest the year with thy goodness; and thy paths drop fatness.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 12] They drop upon the pastures of the wilderness: and the hills are girded with joy.
[ERV | EN | OT | Psalms | Chapter 65 | Verse 13] The pastures are clothed with flocks; the valleys also are covered over with corn; they shout for joy, they also sing.
