[ERV | EN | OT | Psalms | Chapter 26 | Verse 1] Judge me, O LORD, for I have walked in mine integrity: I have trusted also in the LORD without wavering.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 2] Examine me, O LORD, and prove me; try my reins and my heart.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 3] For thy lovingkindness is before mine eyes; and I have walked in thy truth.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 4] I have not sat with vain persons; neither will I go in with dissemblers.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 5] I hate the congregation of evil-doers, and will not sit with the wicked.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 6] I will wash mine hands in innocency; so will I compass thine altar, O LORD:
[ERV | EN | OT | Psalms | Chapter 26 | Verse 7] That I may make the voice of thanksgiving to be heard, and tell of all thy wondrous works.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 8] LORD, I love the habitation of thy house, and the place where thy glory dwelleth.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 9] Gather not my soul with sinners, nor my life with men of blood:
[ERV | EN | OT | Psalms | Chapter 26 | Verse 10] In whose hands is mischief, and their right hand is full of bribes.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 11] But as for me, I will walk in mine integrity: redeem me, and be merciful unto me.
[ERV | EN | OT | Psalms | Chapter 26 | Verse 12] My foot standeth in an even place: in the congregations will I bless the LORD.
