[ERV | EN | OT | Psalms | Chapter 56 | Verse 1] Be merciful unto me, O God; for man would swallow me up: all the day long he fighting oppresseth me.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 2] Mine enemies would swallow me up all the day long: for they be many that fight proudly against me.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 3] What time I am afraid, I will put my trust in thee.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 4] In God I will praise his word: in God have I put my trust, I will not be afraid; what can flesh do unto me?
[ERV | EN | OT | Psalms | Chapter 56 | Verse 5] All the day long they wrest my words: all their thoughts are against me for evil.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 6] They gather themselves together, they hide themselves, they mark my steps, even as they have waited for my soul.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 7] Shall they escape by iniquity? in anger cast down the peoples, O God.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 8] Thou tellest my wanderings: put thou my tears into thy bottle; are they not in thy book?
[ERV | EN | OT | Psalms | Chapter 56 | Verse 9] Then shall mine enemies turn back in the day that I call: this I know, that God is for me.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 10] In God will I praise his word: in the LORD will I praise his word.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 11] In God have I put my trust, I will not be afraid; what can man do unto me?
[ERV | EN | OT | Psalms | Chapter 56 | Verse 12] Thy vows are upon me, O God: I will render thank offerings unto thee.
[ERV | EN | OT | Psalms | Chapter 56 | Verse 13] For thou hast delivered my soul from death: hast thou not delivered my feet from falling? that I may walk before God in the light of the living.
