[ERV | EN | OT | Psalms | Chapter 97 | Verse 1] The LORD reigneth; let the earth rejoice; let the multitude of isles be glad.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 2] Clouds and darkness are round about him: righteousness and judgment are the foundation of his throne.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 3] A fire goeth before him, and burneth up his adversaries round about.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 4] His lightnings lightened the world: the earth saw, and trembled.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 5] The hills melted like wax at the presence of the LORD, at the presence of the Lord of the whole earth;
[ERV | EN | OT | Psalms | Chapter 97 | Verse 6] The heavens declare his righteousness, and all the peoples have seen his glory.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 7] Ashamed be all they that serve graven images, that boast themselves of idols: worship him, all ye gods.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 8] Zion heard and was glad, and the daughters of Judah rejoiced; because of thy judgments, O LORD.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 9] For thou, LORD, art most high above all the earth: thou art exalted far above all gods.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 10] O ye that love the LORD, hate evil: he preserveth the souls of his saints; he delivereth them out of the hand of the wicked.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 11] Light is sown for the righteous, and gladness for the upright in heart.
[ERV | EN | OT | Psalms | Chapter 97 | Verse 12] Be glad in the LORD, ye righteous; and give thanks to his holy name.
