[ERV | EN | OT | Psalms | Chapter 58 | Verse 1] Do ye indeed in silence speak righteousness? do ye judge uprightly, O ye sons of men?
[ERV | EN | OT | Psalms | Chapter 58 | Verse 2] Yea, in heart ye work wickedness; ye weigh out the violence of your hands in the earth.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 3] The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 4] Their poison is like the poison of a serpent: they are like the deaf adder that stoppeth her ear;
[ERV | EN | OT | Psalms | Chapter 58 | Verse 5] Which hearkeneth not to the voice of charmers, charming never so wisely.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 6] Break their teeth, O God, in their mouth: break out the great teeth of the young lions, O LORD.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 7] Let them melt away as water that runneth apace: when he aimeth his arrows, let them be as though they were cut off.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 8] Let them be as a snail which melteth and passeth away: like the untimely birth of a woman, that hath not seen the sun.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 9] Before your pots can feel the thorns, he shall take them away with a whirlwind, the green and the burning alike.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 10] The righteous shall rejoice when he seeth the vengeance: he shall wash his feet in the blood of the wicked.
[ERV | EN | OT | Psalms | Chapter 58 | Verse 11] So that men shall say, Verily there is a reward for the righteous: verily there is a God that judgeth in the earth.
