[ERV | EN | OT | Psalms | Chapter 41 | Verse 1] Blessed is he that considereth the poor: the LORD will deliver him in the day of evil.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 2] The LORD will preserve him, and keep him alive, and he shall be blessed upon the earth; and deliver not thou him unto the will of his enemies.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 3] The LORD will support him upon the couch of languishing: thou makest all his bed in his sickness.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 4] I said, O LORD, have mercy upon me: heal my soul; for I have sinned against thee.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 5] Mine enemies speak evil against me, saying, When shall he die, and his name perish?
[ERV | EN | OT | Psalms | Chapter 41 | Verse 6] And if he come to see me, he speaketh vanity; his heart gathereth iniquity to itself: when he goeth abroad, he telleth it.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 7] All that hate me whisper together against me: against me do they devise my hurt.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 8] An evil disease, say they, cleaveth fast unto him: and now that he lieth he shall rise up no more.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 9] Yea, mine own familiar friend, in whom I trusted, which did eat of my bread, hath lifted up his heel against me.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 10] But thou, O LORD, have mercy upon me, and raise me up, that I may requite them.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 11] By this I know that thou delightest in me, because mine enemy doth not triumph over me.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 12] And as for me, thou upholdest me in mine integrity, and settest me before thy face for ever.
[ERV | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the LORD, the God of Israel, from everlasting and to everlasting. Amen, and Amen.
