[ERV | EN | OT | Psalms | Chapter 32 | Verse 1] Blessed is he whose transgression is forgiven, whose sin is covered.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 2] Blessed is the man unto whom the LORD imputeth not iniquity, and in whose spirit there is no guile.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 3] When I kept silence, my bones waxed old through my roaring all the day long.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 4] For day and night thy hand was heavy upon me: my moisture was changed as with the drought of summer. \+w Selah\+w*
[ERV | EN | OT | Psalms | Chapter 32 | Verse 5] I acknowledged my sin unto thee, and mine iniquity have I not hid: I said, I will confess my transgressions unto the LORD; and thou forgavest the iniquity of my sin. \+w Selah\+w*
[ERV | EN | OT | Psalms | Chapter 32 | Verse 6] For this let every one that is godly pray unto thee in a time when thou mayest be found: surely when the great waters overflow they shall not reach unto him.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 7] Thou art my hiding place; thou wilt preserve me from trouble; thou wilt compass me about with songs of deliverance. \+w Selah\+w*
[ERV | EN | OT | Psalms | Chapter 32 | Verse 8] I will instruct thee and teach thee in the way which thou shalt go: I will counsel thee with mine eye upon thee.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 9] Be ye not as the horse, or as the mule, which have no understanding: whose trappings must be bit and bridle to hold them in, else they will not come near unto thee.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 10] Many sorrows shall be to the wicked: but he that trusteth in the LORD, mercy shall compass him about.
[ERV | EN | OT | Psalms | Chapter 32 | Verse 11] Be glad in the LORD, and rejoice, ye righteous: and shout for joy, all ye that are upright in heart.
