[ERV | EN | OT | Psalms | Chapter 94 | Verse 1] O LORD, thou God to whom vengeance belongeth, thou God to whom vengeance belongeth, shine forth.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 2] Lift up thyself, thou judge of the earth: render to the proud their desert.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 3] LORD, how long shall the wicked, how long shall the wicked triumph?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 4] They prate, they speak arrogantly: all the workers of iniquity boast themselves.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 5] They break in pieces thy people, O LORD, and afflict thine heritage.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 6] They slay the widow and the stranger, and murder the fatherless.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 7] And they say, The LORD shall not see, neither shall the God of Jacob consider.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 8] Consider, ye brutish among the people: and ye fools, when will ye be wise?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 9] He that planted the ear, shall he not hear? he that formed the eye, shall he not see?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 10] He that chastiseth the nations, shall not he correct, even he that teacheth man knowledge?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 11] The LORD knoweth the thoughts of man, that they are vanity.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 12] Blessed is the man whom thou chastenest, O LORD, and teachest out of thy law;
[ERV | EN | OT | Psalms | Chapter 94 | Verse 13] That thou mayest give him rest from the days of adversity, until the pit be digged for the wicked.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 14] For the LORD will not cast off his people, neither will he forsake his inheritance.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 15] For judgment shall return unto righteousness: and all the upright in heart shall follow it.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 16] Who will rise up for me against the evil-doers? who will stand up for me against the workers of iniquity?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 17] Unless the LORD had been my help, my soul had soon dwelt in silence.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 18] When I said, My foot slippeth; thy mercy, O LORD, held me up.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 19] In the multitude of my thoughts within me thy comforts delight my soul.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 20] Shall the throne of wickedness have fellowship with thee, which frameth mischief by statute?
[ERV | EN | OT | Psalms | Chapter 94 | Verse 21] They gather themselves together against the soul of the righteous, and condemn the innocent blood.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 22] But the LORD hath been my high tower; and my God the rock of my refuge.
[ERV | EN | OT | Psalms | Chapter 94 | Verse 23] And he hath brought upon them their own iniquity, and shall cut them off in their own evil; the LORD our God shall cut them off.
