[ERV | EN | OT | Psalms | Chapter 36 | Verse 1] The transgression of the wicked saith within my heart, There is no fear of God before his eyes.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 2] For he flattereth himself in his own eyes, that his iniquity shall not be found out and be hated.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 3] The words of his mouth are iniquity and deceit: he hath left off to be wise and to do good.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 4] He deviseth iniquity upon his bed; he setteth himself in a way that is not good; he abhorreth not evil.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 5] Thy lovingkindness, O LORD, is in the heavens; thy faithfulness reacheth unto the skies.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 6] Thy righteousness is like the mountains of God; thy judgments are a great deep: O LORD, thou preservest man and beast.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 7] How precious is thy lovingkindness, O God! and the children of men take refuge under the shadow of thy wings.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 8] They shall be abundantly satisfied with the fatness of thy house; and thou shalt make them drink of the river of thy pleasures.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 9] For with thee is the fountain of life: in thy light shall we see light.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 10] O continue thy lovingkindness unto them that know thee; and thy righteousness to the upright in heart.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 11] Let not the foot of pride come against me, and let not the hand of the wicked drive me away.
[ERV | EN | OT | Psalms | Chapter 36 | Verse 12] There are the workers of iniquity fallen: they are thrust down, and shall not be able to rise.
