[ERV | EN | OT | Psalms | Chapter 60 | Verse 1] O God, thou hast cast us off, thou hast broken us down; thou hast been angry; O restore us again.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 2] Thou hast made the land to tremble; thou hast rent it: heal the breaches thereof; for it shaketh.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 3] Thou hast shewed thy people hard things: thou hast made us to drink the wine of staggering.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 4] Thou hast given a banner to them that fear thee, that it may be displayed because of the truth. Selah
[ERV | EN | OT | Psalms | Chapter 60 | Verse 5] That thy beloved may be delivered, save with thy right hand, and answer us.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 6] God hath spoken in his holiness; I will exult: I will divide Shechem, and mete out the valley of Succoth.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 7] Gilead is mine, and Manasseh is mine; Ephraim also is the defence of mine head; Judah is my sceptre.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 8] Moab is my washpot; upon Edom will I cast my shoe: Philistia, shout thou because of me.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 9] Who will bring me into the strong city? who hath led me unto Edom?
[ERV | EN | OT | Psalms | Chapter 60 | Verse 10] Hast not thou, O God, cast us off? and thou goest not forth, O God, with our hosts.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 11] Give us help against the adversary: for vain is the help of man.
[ERV | EN | OT | Psalms | Chapter 60 | Verse 12] Through God we shall do valiantly: for he it is that shall tread down our adversaries.
