[ERV | EN | OT | Psalms | Chapter 147 | Verse 1] Praise ye the LORD; for it is good to sing praises unto our God; for it is pleasant, and praise is comely.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 2] The LORD doth build up Jerusalem; he gathereth together the outcasts of Israel.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 3] He healeth the broken in heart, and bindeth up their wounds.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 4] He telleth the number of the stars; he giveth them all their names.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, and mighty in power; his understanding is infinite.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 6] The LORD upholdeth the meek: he bringeth the wicked down to the ground.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 7] Sing unto the LORD with thanksgiving; sing praises upon the harp unto our God:
[ERV | EN | OT | Psalms | Chapter 147 | Verse 8] Who covereth the heaven with clouds, who prepareth rain for the earth, who maketh grass to grow upon the mountains.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 9] He giveth to the beast his food, and to the young ravens which cry.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 10] He delighteth not in the strength of the horse: he taketh no pleasure in the legs of a man.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 11] The LORD taketh pleasure in them that fear him, in those that hope in his mercy.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 12] Praise the LORD, O Jerusalem; praise thy God, O Zion.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 13] For he hath strengthened the bars of thy gates; he hath blessed thy children within thee.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 14] He maketh peace in thy borders; he filleth thee with the finest of the wheat.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 15] He sendeth out his commandment upon earth; his word runneth very swiftly.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 16] He giveth snow like wool; he scattereth the hoar frost like ashes.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 17] He casteth forth his ice like morsels: who can stand before his cold?
[ERV | EN | OT | Psalms | Chapter 147 | Verse 18] He sendeth out his word, and melteth them: he causeth his wind to blow, and the waters flow.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 19] He sheweth his word unto Jacob, his statutes and his judgments unto Israel.
[ERV | EN | OT | Psalms | Chapter 147 | Verse 20] He hath not dealt so with any nation: and as for his judgments, they have not known them. Praise ye the LORD.
