[ERV | EN | OT | Psalms | Chapter 62 | Verse 1] My soul waiteth only upon God: from him cometh my salvation.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 2] He only is my rock and my salvation: he is my high tower; I shall not be greatly moved.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 3] How long will ye set upon a man, that ye may slay him, all of you, like a bowing wall, like a tottering fence?
[ERV | EN | OT | Psalms | Chapter 62 | Verse 4] They only consult to thrust him down from his excellency; they delight in lies: they bless with their mouth, but they curse inwardly. Selah
[ERV | EN | OT | Psalms | Chapter 62 | Verse 5] My soul, wait thou only upon God; for my expectation is from him.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 6] He only is my rock and my salvation: he is my high tower; I shall not be moved.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 7] With God is my salvation and my glory: the rock of my strength, and my refuge, is in God.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 8] Trust in him at all times, ye people; pour out your heart before him: God is a refuge for us. Selah
[ERV | EN | OT | Psalms | Chapter 62 | Verse 9] Surely men of low degree are vanity, and men of high degree are a lie: in the balances they will go up; they are together lighter than vanity.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 10] Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart thereon.
[ERV | EN | OT | Psalms | Chapter 62 | Verse 11] God hath spoken once, twice have I heard this; that power belongeth unto God:
[ERV | EN | OT | Psalms | Chapter 62 | Verse 12] Also unto thee, O Lord, belongeth mercy: for thou renderest to every man according to his work.
