[ERV | EN | OT | Psalms | Chapter 116 | Verse 1] I LOVE the LORD, because he hath heard my voice and my supplications.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 2] Because he hath inclined his ear unto me, therefore will I call upon him as long as I live.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 3] The cords of death compassed me, and the pains of Sheol gat hold upon me: I found trouble and sorrow.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 4] Then called I upon the name of the LORD; O LORD, I beseech thee, deliver my soul.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 5] Gracious is the LORD, and righteous; yea, our God is merciful.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 6] The LORD preserveth the simple: I was brought low, and he saved me.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 7] Return unto thy rest, O my soul; for the LORD hath dealt bountifully with thee.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 8] For thou hast delivered my soul from death, mine eyes from tears, and my feet from falling.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 9] I will walk before the LORD in the land of the living.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 10] I believe, for I will speak: I was greatly afflicted:
[ERV | EN | OT | Psalms | Chapter 116 | Verse 11] I said in my haste, All men are a lie.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 12] What shall I render unto the LORD for all his benefits toward me?
[ERV | EN | OT | Psalms | Chapter 116 | Verse 13] I will take the cup of salvation, and call upon the name of the LORD.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 14] I will pay my vows unto the LORD, yea, in the presence of all his people.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 15] Precious in the sight of the LORD is the death of his saints.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 16] O LORD, truly I am thy servant: I am thy servant, the son of thine handmaid; thou hast loosed my bonds.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 17] I will offer to thee the sacrifice of thanksgiving, and will call upon the name of the LORD.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 18] I will pay my vows unto the LORD, yea, in the presence of all his people.
[ERV | EN | OT | Psalms | Chapter 116 | Verse 19] In the courts of the LORD’S house, in the midst of thee, O Jerusalem. Praise ye the LORD.
