[IRV | HI | OT | Joshua | Chapter 21 | Verse 1] तब लेवियों के पूर्वजों के घरानों के मुख्य-मुख्य पुरुष एलीआजर याजक, और नून के पुत्र यहोशू, और इस्राएली गोत्रों के पूर्वजों के घरानों के मुख्य-मुख्य पुरुषों के पास आकर
[IRV | HI | OT | Joshua | Chapter 21 | Verse 2] कनान देश के शीलो नगर में कहने लगे, “यहोवा ने मूसा के द्वारा हमें बसने के लिये नगर, और हमारे पशुओं के लिये उन्हीं नगरों की चराइयाँ भी देने की आज्ञा दी थी।”
[IRV | HI | OT | Joshua | Chapter 21 | Verse 3] तब इस्राएलियों ने यहोवा के कहने के अनुसार अपने-अपने भाग में से लेवियों को चराइयों समेत ये नगर दिए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 4] तब कहातियों के कुलों के नाम पर चिट्ठी निकली। इसलिए लेवियों में से हारून याजक के वंश को यहूदी, शिमोन, और बिन्यामीन के गोत्रों के भागों में से तेरह नगर मिले।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 5] बाकी कहातियों को एप्रैम के गोत्र के कुलों, और दान के गोत्र, और मनश्शे के आधे गोत्र के भागों में से चिट्ठी डाल डालकर दस नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 6] और गेर्शोनियों को इस्साकार के गोत्र के कुलों, और आशेर, और नप्ताली के गोत्रों के भागों में से, और मनश्शे के उस आधे गोत्र के भागों में से भी जो बाशान में था चिट्ठी डाल डालकर तेरह नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 7] कुलों के अनुसार मरारियों को रूबेन, गाद, और जबूलून के गोत्रों के भागों में से बारह नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 8] जो आज्ञा यहोवा ने मूसा के द्वारा दी थी उसके अनुसार इस्राएलियों ने लेवियों को चराइयों समेत ये नगर चिट्ठी डाल डालकर दिए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 9] उन्होंने यहूदियों और शिमोनियों के गोत्रों के भागों में से ये नगर जिनके नाम लिखे हैं दिए;
[IRV | HI | OT | Joshua | Chapter 21 | Verse 10] ये नगर लेवीय कहाती कुलों में से हारून के वंश के लिये थे; क्योंकि पहली चिट्ठी उन्हीं के नाम पर निकली थी।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 11] अर्थात् उन्होंने उनको यहूदा के पहाड़ी देश में चारों ओर की चराइयों समेत किर्यतअर्बा नगर दे दिया, जो अनाक के पिता अर्बा के नाम पर कहलाया और हेब्रोन भी कहलाता है।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 12] परन्तु उस नगर के खेत और उसके गाँव उन्होंने यपुन्ने के पुत्र कालेब को उसकी निज भूमि करके दे दिए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 13] तब उन्होंने हारून याजक के वंश को चराइयों समेत खूनी के शरणनगर हेब्रोन, और अपनी-अपनी चराइयों समेत लिब्ना,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 14] यत्तीर, एश्तमो,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 15] होलोन, दबीर, ऐन,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 16] युत्ता और बेतशेमेश दिए; इस प्रकार उन दोनों गोत्रों के भागों में से नौ नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 17] और बिन्यामीन के गोत्र के भाग में से अपनी-अपनी चराइयों समेत ये चार नगर दिए गए, अर्थात् गिबोन, गेबा,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 18] अनातोत और अल्मोन।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 19] इस प्रकार हारूनवंशी याजकों को तेरह नगर और उनकी चराइयाँ मिलीं।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 20] फिर बाकी कहाती लेवियों के कुलों के भाग के नगर चिट्ठी डाल डालकर एप्रैम के गोत्र के भाग में से दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 21] अर्थात् उनको चराइयों समेत एप्रैम के पहाड़ी देश में खूनी के शरण लेने का शेकेम नगर दिया गया, फिर अपनी-अपनी चराइयों समेत गेजेर,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 22] किबसैम, और बेथोरोन; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 23] और दान के गोत्र के भाग में से अपनी-अपनी चराइयों समेत, एलतके, गिब्बतोन,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 24] अय्यालोन, और गत्रिम्मोन; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 25] और मनश्शे के आधे गोत्र के भाग में से अपनी-अपनी चराइयों समेत तानाक और गत्रिम्मोन; ये दो नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 26] इस प्रकार बाकी कहातियों के कुलों के सब नगर चराइयों समेत दस ठहरे।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 27] फिर लेवियों के कुलों में के गेर्शोनियों को मनश्शे के आधे गोत्र के भाग में से अपनी-अपनी चराइयों समेत खूनी के शरणनगर बाशान का गोलन और बेशतरा; ये दो नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 28] और इस्साकार के गोत्र के भाग में से अपनी-अपनी चराइयों समेत किश्योन, दाबरात,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 29] यर्मूत, और एनगन्नीम; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 30] और आशेर के गोत्र के भाग में से अपनी-अपनी चराइयों समेत मिशाल, अब्दोन,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 31] हेल्कात, और रहोब; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 32] और नप्ताली के गोत्र के भाग में से अपनी-अपनी चराइयों समेत खूनी के शरणनगर गलील का केदेश, फिर हम्मोतदोर, और कर्तान; ये तीन नगर दिए गए।
