[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 1] Thou therefore, my child, be strengthened in the grace that is in Christ Jesus.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 2] And the things which thou hast heard from me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 3] Thou therefore suffer hardship, as a good soldier of Jesus Christ.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 4] No soldier on service entangleth himself in the affairs of this life; that he may please him who enrolled him as a soldier.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 5] And if also a man contend in the games, he is not crowned, except he have contended lawfully.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 6] The husbandman that laboreth must be the first to partake of the fruits.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 7] Consider what I say; may the Lord indeed give thee understanding in all things.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 8] Remember Jesus Christ, risen from the dead, of the seed of David, according to my gospel:
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 9] wherein I suffer hardship unto bonds, as a malefactor; but the word of God is not bound.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 10] Therefore I endure all things for the elect’s sake, that they also may obtain the salvation which is in Christ Jesus with eternal glory.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 11] Faithful is the saying: For if we died with him, we shall also live with him:
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 12] if we endure, we shall also reign with him: if we deny him, he also will deny us:
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 13] if we are faithless, he abideth faithful: he cannot deny himself.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 14] Of these things put them in remembrance, charging them in the sight of the Lord, that they strive not about words, to no profit, to the subverting of them that hear.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 15] Give diligence to present thyself approved unto God, a workman that needeth not to be ashamed, handling aright the word of truth.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 16] But shun profane babblings: for they will proceed further in ungodliness,
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 17] and their word will eat as doth a gangrene: of whom is Hymenaeus and Philetus;
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 18] men who concerning the truth have erred, saying that the resurrection is past already, and overthrow the faith of some.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 19] Howbeit the firm foundation of God standeth, having this seal, The Lord knoweth them that are his: and, Let everyone that nameth the name of the Lord depart from unrighteousness.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 20] Now in a great house there are not only vessels of gold and of silver, but also of wood and of earth; and some unto honor, and some unto dishonor.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 21] If a man therefore purge himself from these, he shall be a vessel unto honor, sanctified, and meet for the master’s use, prepared unto every good work.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 22] But flee youthful lusts, and follow after righteousness, faith, love, peace, with them that call on the Lord out of a pure heart.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 23] But foolish and ignorant questionings refuse, knowing that they gender strifes.
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 24] And the Lord’s servant must not strive, but be gentle toward all, apt to teach, forbearing,
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 25] in meekness correcting them that oppose themselves; if peradventure God may give them repentance unto the knowledge of the truth,
[ASV | EN | NT | 2 Timothy | Chapter 2 | Verse 26] and they may recover themselves out of the snare of the devil, having been taken captive by him unto his will.
