[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I charge thee therefore in the sight of God, and of the Lord Jesus Christ, who shall judge the living and the dead at his appearing and his kingdom:
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 2] preach the word; be urgent in season, out of season; reprove, rebuke, exhort, with all long-suffering and teaching.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For the time will come when they will not endure the sound doctrine; but, having itching ears, will heap to themselves teachers after their own lusts;
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 4] and will turn away their ears from the truth, and turn aside unto fables.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But be thou sober in all things, suffer hardship, do the work of an evangelist, fulfill thy ministry.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am already being offered, and the time of my departure is come.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have fought the good fight, I have finished the course, I have kept the faith:
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 8] henceforth there is laid up for me the crown of righteousness, which the Lord, the righteous judge, shall give to me at that day; and not to me only, but also to all them that have loved his appearing.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Give diligence to come shortly unto me:
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 10] for Demas forsook me, having loved this present world, and went to Thessalonica; Crescens to Galatia, Titus to Dalmatia.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Only Luke is with me. Take Mark, and bring him with thee; for he is useful to me for ministering.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 12] But Tychicus I sent to Ephesus.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloak that I left at Troas with Carpus, bring when thou comest, and the books, especially the parchments.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the coppersmith did me much evil: the Lord render to him according to his works:
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 15] of whom do thou also beware; for he hath greatly withstood our words.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first defense no one took my part, but all forsook me: may it not be laid to their account.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 17] But the Lord stood by me, and strengthened me; that through me the message might be fully proclaimed, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 18] And the Lord will deliver me from every evil work, and will save me unto his heavenly kingdom: to whom be the glory forever and ever. Amen.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the house of Onesiphorus.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus remained at Corinth: but Trophimus I left at Miletus sick.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Give diligence to come before winter. Eubulus saluteth thee, and Pudens, and Linus, and Claudia, and all the brethren.
[ASV | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
