[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 1] But know this, that in the last days grievous times shall come.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 2] For men shall be lovers of self, lovers of money, boastful, haughty, railers, disobedient to parents, unthankful, unholy,
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 3] without natural affection, implacable, slanderers, without self-control, fierce, no lovers of good,
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 4] traitors, headstrong, puffed up, lovers of pleasure rather than lovers of God;
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 5] holding a form of godliness, but having denied the power thereof: from these also turn away.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 6] For of these are they that creep into houses, and take captive silly women laden with sins, led away by diverse lusts,
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 7] ever learning, and never able to come to the knowledge of the truth.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 8] And even as Jannes and Jambres withstood Moses, so do these also withstand the truth; men corrupted in mind, reprobate concerning the faith.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 9] But they shall proceed no further: for their folly shall be evident unto all men, as theirs also came to be.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 10] But thou hast followed my teaching, conduct, purpose, faith, long-suffering, love, patience,
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 11] persecutions, sufferings; what things befell me at Antioch, at Iconium, at Lystra; what persecutions I endured: and out of them all the Lord delivered me.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 12] Yea, and all that would live godly in Christ Jesus shall suffer persecution.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 13] But evil men and impostors shall wax worse and worse, deceiving and being deceived.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 14] But abide thou in the things which thou hast learned and hast been assured of, knowing of whom thou hast learned them;
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 15] and that from a babe thou hast known the sacred writings which are able to make thee wise unto salvation through faith which is in Christ Jesus.
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 16] Every scripture is inspired of God, and profitable for teaching, for reproof, for correction, for instruction which is in righteousness:
[ASV | EN | NT | 2 Timothy | Chapter 3 | Verse 17] that the man of God may be complete, furnished completely unto every good work.
