[GNV | EN | OT | Proverbs | Chapter 14 | Verse 1] A wise woman buildeth her house: but the foolish destroyeth it with her owne handes.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 2] He that walketh in his righteousnes, feareth the Lord: but he that is lewde in his wayes, despiseth him.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 3] In the mouth of the foolish is the rod of pride: but the lippes of the wise preserue them.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 4] Where none oxen are, there the cribbe is emptie: but much increase cometh by the strength of the oxe.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 5] A faithfull witnes will not lye: but a false record will speake lyes.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 6] A scorner seeketh wisdome, and findeth it not: but knowledge is easie to him that will vnderstande.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 7] Depart from the foolish man, when thou perceiuest not in him the lippes of knowledge.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 8] The wisdome of ye prudent is to vnderstand his way: but the foolishnes of the fooles is deceite.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 9] The foole maketh a mocke of sinne: but among the righteous there is fauour.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 10] The heart knoweth the bitternes of his soule, and the stranger shall not medle with his ioy.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 11] The house of the wicked shalbe destroyed: but the tabernacle of the righteous shall florish.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 12] There is a way that seemeth right to a man: but the issues thereof are the wayes of death.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 13] Euen in laughing the heart is sorowful, and the ende of that mirth is heauinesse.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 14] The heart that declineth, shall be saciate with his owne wayes: but a good man shall depart from him.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 15] The foolish will beleeue euery thing: but the prudent will consider his steppes.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 16] A wise man feareth, and departeth from euill: but a foole rageth, and is carelesse.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 17] He that is hastie to anger, committeth follie, and a busie body is hated.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 18] The foolish do inherite follie: but the prudent are crowned with knowledge.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 19] The euill shall bowe before the good, and the wicked at the gates of the righteous.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 20] The poore is hated euen of his own neighbour: but the friendes of the rich are many.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 21] The sinner despiseth his neighbour: but he that hath mercie on the poore, is blessed.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 22] Doe not they erre that imagine euill? but to them that thinke on good things, shalbe mercie and trueth.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 23] In all labour there is abundance: but the talke of the lippes bringeth onely want.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 24] The crowne of the wise is their riches, and the follie of fooles is foolishnes.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 25] A faithfull witnes deliuereth soules: but a deceiuer speaketh lyes.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 26] In the feare of the Lord is an assured strength, and his children shall haue hope.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 27] The feare of the Lord is as a welspring of life, to auoyde the snares of death.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 28] In the multitude of the people is the honour of a King, and for the want of people commeth the destruction of the Prince.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 29] He that is slowe to wrath, is of great wisdome: but he that is of an hastie minde, exalteth follie.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 30] A sounde heart is the life of the flesh: but enuie is the rotting of the bones.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 31] He that oppresseth the poore, reprooueth him that made him: but hee honoureth him, that hath mercie on the poore.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 32] The wicked shall be cast away for his malice: but the righteous hath hope in his death.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 33] Wisedome resteth in the heart of him that hath vnderstanding, and is knowen in the mids of fooles.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 34] Iustice exalteth a nation, but sinne is a shame to the people.
[GNV | EN | OT | Proverbs | Chapter 14 | Verse 35] The pleasure of a King is in a wise seruant: but his wrath shalbe toward him that is lewde.
