[GNV | EN | OT | Proverbs | Chapter 30 | Verse 1] THE WORDS OF AGUR THE SONNE OF JAKEH. The prophecie which ye man spake vnto Ithiel, euen to Ithiel, and Vcal.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 2] Surely I am more foolish then any man, and haue not the vnderstanding of a man in me.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 3] For I haue not learned wisedome, nor atteined to the knowledge of holy things.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 4] Who hath ascended vp to heauen, and descended? Who hath gathered the winde in his fist? Who hath bound the waters in a garment? Who hath established all the endes of the world? What is his name, and what is his sonnes name, if thou canst tell?
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 5] Euery worde of God is pure: he is a shield to those, that trust in him.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 6] Put nothing vnto his wordes, least he reproue thee, and thou be found a lyar.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 7] Two things haue I required of thee: denie me them not before I die.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 8] Remooue farre from me vanitie and lyes: giue me not pouertie, nor riches: feede me with foode conuenient for me,
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 9] Least I be full, and denie thee, and say, Who is the Lord? or least I be poore and steale, and take the Name of my God in vaine.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 10] Accuse not a seruant vnto his master, lest he curse thee, when thou hast offended.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 11] There is a generation that curseth their father, and doeth not blesse their mother.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 12] There is a generation that are pure in their owne conceite, and yet are not washed from their filthinesse.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 13] There is a generation, whose eies are hautie, and their eye liddes are lifted vp.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 14] There is a generation, whose teeth are as swordes, and their chawes as kniues to eate vp the afflicted out of the earth, and the poore from among men.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 15] The horse leache hath two daughters which crye, Giue, giue. There be three things that will not be satisfied: yea, foure that say not, It is ynough.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 16] The graue, and the barren wombe, the earth that cannot be satisfied with water, and the fire that sayeth not, It is ynough.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 17] The eye that mocketh his father and despiseth the instruction of his mother, let ye rauens of the valley picke it out, and the yong eagles eate it.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 18] There be three thinges hid from me: yea, foure that I knowe not,
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 19] The way of an eagle in the aire, the way of a serpent vpon a stone, ye way of a ship in ye middes of the sea, and the way of a man with a maide.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 20] Such is ye way also of an adulterous woman: she eateth and wipeth her mouth, and sayth, I haue not committed iniquitie.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 21] For three things the earth is moued: yea, for foure it cannot susteine it selfe:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 22] For a seruant when he reigneth, and a foole when he is filled with meate,
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 23] For the hatefull woman, when she is married, and for a handmaid that is heire to her mistres.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 24] These be foure small things in the earth, yet they are wise and full of wisedome:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 25] The pismires a people not strong, yet prepare they their meate in sommer:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 26] The conies a people not mightie, yet make their houses in the rocke:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 27] The grashopper hath no King, yet goe they forth all by bandes:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 28] The spider taketh holde with her handes, and is in Kings palaces.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 29] There be three thinges that order well their going: yea, foure are comely in going,
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 30] A lyon which is strong among beastes, and turneth not at the sight of any:
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 31] A lusty grayhound, and a goate, and a King against whom there is no rising vp.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 32] If thou hast bene foolish in lifting thy selfe vp, and if thou hast thought wickedly, lay thine hand vpon thy mouth.
[GNV | EN | OT | Proverbs | Chapter 30 | Verse 33] When one churneth milke, he bringeth foorth butter: and he that wringeth his nose, causeth blood to come out: so he that forceth wrath, bringeth foorth strife.
