[GNV | EN | OT | Proverbs | Chapter 21 | Verse 1] The Kings heart is in the hand of the Lord, as the riuers of waters: he turneth it whithersoeuer it pleaseth him.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 2] Euery way of a man is right in his owne eyes: but the Lord pondereth the hearts.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 3] To doe iustice and iudgement is more acceptable to the Lord then sacrifice.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 4] A hautie looke, and a proude heart, which is the light of the wicked, is sinne.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 5] The thoughtes of the diligent doe surely bring abundance: but whosoeuer is hastie, commeth surely to pouertie.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 6] The gathering of treasures by a deceitfull tongue is vanitie tossed to and from of them that seeke death.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 7] The robberie of the wicked shall destroy them: for they haue refused to execute iudgement.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of some is peruerted and strange: but of the pure man, his worke is right.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 9] It is better to dwell in a corner of the house top, then with a contentious woman in a wide house.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 10] The soule of the wicked wisheth euill: and his neighbour hath no fauour in his eyes.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scorner is punished, the foolish is wise: and when one instructeth the wise, he wil receiue knowledge.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 12] The righteous teacheth the house of the wicked: but God ouerthroweth the wicked for their euill.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 13] He that stoppeth his eare at the crying of the poore, he shall also cry and not be heard.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger, and a gift in the bosome great wrath.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 15] It is ioye to the iust to doe iudgement: but destruction shalbe to the workers of iniquitie.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 16] A man that wandreth out of the way of wisdome, shall remaine in the congregation of the dead.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 17] Hee that loueth pastime, shalbe a poore man: and he that loueth wine and oyle, shall not be riche.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked shalbe a ransome for the iust, and the transgressour for the righteous.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 19] It is better to dwell in the wildernesse, then with a contentious and angry woman.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 20] In the house of the wise is a pleasant treasure and oyle: but a foolish man deuoureth it.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 21] He that followeth after righteousnes and mercy, shall finde life, righteousnes, and glory.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man goeth vp into the citie of the mightie, and casteth downe the strength of the confidence thereof.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 23] He that keepeth his mouth and his tongue, keepeth his soule from afflictions.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 24] Proude, hautie and scornefull is his name that worketh in his arrogancie wrath.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the slouthfull slayeth him: for his hands refuse to worke.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 26] He coueteth euermore greedily, but the righteous giueth and spareth not.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is an abomination: how much more when he bringeth it with a wicked minde?
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witnes shall perish: but hee that heareth, speaketh continually.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardeneth his face: but the iust, he will direct his way.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisedome, neither vnderstanding, nor counsell against the Lord.
[GNV | EN | OT | Proverbs | Chapter 21 | Verse 31] The horse is prepared against the day of battell: but saluation is of the Lord.
