[GNV | EN | OT | Proverbs | Chapter 13 | Verse 1] A wise sonne will obey the instruction of his father: but a scorner will heare no rebuke.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 2] A man shall eate good things by the fruite of his mouth: but the soule of the trespassers shall suffer violence.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 3] Hee that keepeth his mouth, keepeth his life: but he that openeth his lips, destruction shall be to him.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 4] The sluggard lusteth, but his soule hath nought: but the soule of the diligent shall haue plentie.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 5] A righteous man hateth lying wordes: but the wicked causeth slander and shame.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 6] Righteousnesse preserueth the vpright of life: but wickednes ouerthroweth the sinner.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 7] There is that maketh himselfe riche, and hath nothing, and that maketh himselfe poore, hauing great riches.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 8] A man will giue his riches for the ransome of his life: but the poore cannot heare ye reproch.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 9] The light of the righteous reioyceth: but the candle of the wicked shall be put out.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 10] Onely by pride doeth man make contention: but with the well aduised is wisdome.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 11] The riches of vanitie shall diminish: but he that gathereth with the hand, shall increase them.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 12] The hope that is deferred, is the fainting of the heart: but when the desire commeth, it is as a tree of life.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 13] He that despiseth the worde, hee shall be destroyed: but hee that feareth the commandement he shalbe rewarded.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 14] The instruction of a wise man is as the welspring of life, to turne away from the snares of death.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 15] Good vnderstanding maketh acceptable: but the way of the disobedient is hated.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 16] Euery wise man will worke by knowledge: but a foole will spread abroade folly.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 17] A wicked messenger falleth into euill: but a faithfull ambassadour is preseruation.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 18] Pouertie and shame is to him that refuseth instruction: but hee that regardeth correction, shalbe honoured.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 19] A desire accomplished deliteth ye soule: but it is an abomination to fooles to depart from euil.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 20] He that walketh with the wise, shalbe wise: but a companion of fooles shalbe afflicted.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 21] Affliction followeth sinners: but vnto the righteous God will recompense good.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 22] The good man shall giue inheritance vnto his childrens children: and the riches of the sinner is layde vp for the iust.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 23] Much foode is in the fielde of the poore: but the fielde is destroyed without discretion.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 24] He that spareth his rodde, hateth his sonne: but he that loueth him, chasteneth him betime.
[GNV | EN | OT | Proverbs | Chapter 13 | Verse 25] The righteous eateth to the contentation of his minde: but the belly of the wicked shall want.
