[GNV | EN | OT | Proverbs | Chapter 10 | Verse 1] THE PARABLE OF SALOMON. A wise sonne maketh a glad father: but a foolish sonne is an heauines to his mother.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 2] The treasures of wickednesse profite nothing: but righteousnesse deliuereth from death.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 3] The Lord will not famish the soule of the righteous: but he casteth away the substance of the wicked.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 4] A slouthfull hand maketh poore: but the hand of the diligent maketh riche.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 5] He that gathereth in sommer, is the sonne of wisdome: but he that sleepeth in haruest, is the sonne of confusion.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are vpon the head of the righteous: but iniquitie shall couer the mouth of the wicked.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 7] The memoriall of the iust shalbe blessed: but the name of the wicked shall rotte.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart will receiue commandements: but the foolish in talke shalbe beaten.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh vprightly, walketh boldely: but he that peruerteth his wayes, shalbe knowen.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye, worketh sorowe, and he yet is foolish in talke, shalbe beaten.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of a righteous man is a welspring of life: but iniquitie couereth the mouth of the wicked.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth vp contentions: but loue couereth all trespasses.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lippes of him that hath vnderstanding wisdome is founde, and a rod shalbe for the backe of him that is destitute of wisedome.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay vp knowledge: but ye mouth of the foole is a present destruction.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 15] The riche mans goodes are his strong citie: but the feare of the needie is their pouertie.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 16] The labour of the righteous tendeth to life: but the reuenues of the wicked to sinne.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 17] He that regardeth instruction, is in the way of life: but he that refuseth correction, goeth out of the way.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 18] He that dissembleth hatred with lying lips, and he that inuenteth slaunder, is a foole.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 19] In many wordes there cannot want iniquitie: but he that refrayneth his lippes, is wise.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the iust man is as fined siluer: but the heart of the wicked is litle worth.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 21] The lippes of the righteous doe feede many: but fooles shall die for want of wisedome.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of the Lord, it maketh riche, and he doeth adde no sorowes with it.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as a pastime to a foole to doe wickedly: but wisedome is vnderstanding to a man.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 24] That which the wicked feareth, shall come vpon him: but God wil graunt the desire of the righteous.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 25] As the whirlewinde passeth, so is the wicked no more: but the righteous is as an euerlasting foundation.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 26] As vineger is to the teeth, and as smoke to the eyes, so is the slouthful to them that send him.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 27] The feare of the Lord increaseth the dayes: but the yeeres of the wicked shalbe diminished.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 28] The patient abiding of the righteous shall be gladnesse: but the hope of the wicked shall perish.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of the Lord is strength to the vpright man: but feare shall be for the workers of iniquitie.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous shall neuer be remooued: but the wicked shall not dwell in the land.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the iust shall be fruitfull in wisdome: but the tongue of the froward shall be cut out.
[GNV | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous knowe what is acceptable: but the mouth of the wicked speaketh froward things.
