[GNV | EN | OT | Proverbs | Chapter 6 | Verse 1] My sonne, if thou be surety for thy neighbour, and hast striken hands with the stranger,
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 2] Thou art snared with the wordes of thy mouth: thou art euen taken with the woordes of thine owne mouth.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 3] Doe this nowe, my sonne, and deliuer thy selfe: seeing thou art come into the hande of thy neighbour, goe, and humble thy selfe, and sollicite thy friends.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 4] Giue no sleepe to thine eyes, nor slumber to thine eyelids.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 5] Deliuer thy selfe as a doe from the hande of the hunter, and as a birde from the hande of the fouler.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 6] Goe to the pismire, O sluggarde: beholde her waies, and be wise.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 7] For shee hauing no guide, gouernour, nor ruler,
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 8] Prepareth her meat in the sommer, and gathereth her foode in haruest.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 9] Howe long wilt thou sleepe, O sluggarde? when wilt thou arise out of thy sleepe?
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 10] Yet a litle sleepe, a litle slumber, a litle folding of the hands to sleepe.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 11] Therefore thy pouertie commeth as one that trauaileth by the way, and thy necessitie like an armed man.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 12] The vnthriftie man and the wicked man walketh with a froward mouth.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 13] He maketh a signe with his eyes: he signifieth with his feete: he instructeth with his fingers.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 14] Lewde things are in his heart: he imagineth euill at all times, and raiseth vp contentions.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore shall his destruction come speedily: hee shall be destroyed suddenly without recouerie.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 16] These sixe things doeth the Lord hate: yea, his soule abhorreth seuen:
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 17] The hautie eyes, a lying tongue, and the hands that shed innocent blood,
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 18] An heart that imagineth wicked enterprises, feete that be swift in running to mischiefe,
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witnesse that speaketh lyes, and him that rayseth vp contentions among brethren.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 20] My sonne, keepe thy fathers commandement, and forsake not thy mothers instruction.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 21] Binde them alway vpon thine heart, and tye them about thy necke.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 22] It shall leade thee, when thou walkest: it shall watch for thee, when thou sleepest, and when thou wakest, it shall talke with thee.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 23] For the commandement is a lanterne, and instruction a light: and corrections for instruction are the way of life,
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 24] To keepe thee from the wicked woman, and from ye flatterie of ye tongue of a strange woman.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 25] Desire not her beautie in thine heart, neither let her take thee with her eye lids.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 26] For because of the whorish woman a man is brought to a morsell of bread, and a woman wil hunt for the precious life of a man.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man take fire in his bosome, and his clothes not be burnt?
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 28] Or can a man go vpon coales, and his feete not be burnt?
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 29] So he that goeth in to his neighbours wife, shall not be innocent, whosoeuer toucheth her.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not despise a thiefe, when he stealeth, to satisfie his soule, because he is hungrie.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 31] But if he be founde, he shall restore seuen folde, or he shall giue all the substance of his house.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 32] But he that committeth adulterie with a woman, he is destitute of vnderstanding: he that doeth it, destroyeth his owne soule.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 33] He shall finde a wounde and dishonour, and his reproch shall neuer be put away.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 34] For ielousie is the rage of a man: therefore he will not spare in the day of vengeance.
[GNV | EN | OT | Proverbs | Chapter 6 | Verse 35] He cannot beare the sight of any raunsome: neither will he consent, though thou augment the giftes.
