[GNV | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisedome hath built her house, and hewen out her seuen pillars.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 2] She hath killed her vitailes, drawen her wine, and prepared her table.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 3] She hath sent forth her maydens and cryeth vpon the highest places of the citie, saying,
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 4] Who so is simple, let him come hither, and to him that is destitute of wisedome, she sayth,
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 5] Come, and eate of my meate, and drinke of the wine that I haue drawen.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 6] Forsake your way, ye foolish, and ye shall liue: and walke in the way of vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 7] He that reproueth a scorner, purchaseth to himselfe shame: and he that rebuketh the wicked, getteth himselfe a blot.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 8] Rebuke not a scorner, least he hate thee: but rebuke a wise man, and he will loue thee.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 9] Giue admonition to the wise, and he will be the wiser: teache a righteous man, and he will increase in learning.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 10] The beginning of wisedome is the feare of the Lord, and the knowledge of holy things, is vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 11] For thy dayes shalbe multiplied by me, and the yeeres of thy life shalbe augmented.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 12] If thou be wise, thou shalt be wise for thy selfe, and if thou be a scorner, thou alone shalt suffer.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 13] A foolish woman is troublesome: she is ignorant, and knoweth nothing.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 14] But she sitteth at the doore of her house on a seate in the hie places of the citie,
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 15] To call them that passe by the way, that go right on their way, saying,
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 16] Who so is simple, let him come hither, and to him that is destitute of wisedome, shee sayth also,
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 17] Stollen waters are sweete, and hid bread is pleasant.
[GNV | EN | OT | Proverbs | Chapter 9 | Verse 18] But he knoweth not, that ye dead are there, and that her ghestes are in the depth of hell.
