[GNV | EN | OT | Proverbs | Chapter 11 | Verse 1] False balances are an abomination vnto the Lord: but a perfite weight pleaseth him.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 2] When pride commeth, then commeth shame: but with the lowly is wisdome.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 3] The vprightnes of the iust shall guide them: but the frowardnes of the transgressers shall destroy them.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches auaile not in the day of wrath: but righteousnes deliuereth from death.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousnes of the vpright shall direct his way: but the wicked shall fall in his owne wickednes.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousnesse of the iust shall deliuer them: but the transgressers shall be taken in their owne wickednes.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 7] When a wicked man dieth, his hope perisheth, and the hope of the vniust shall perish.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous escapeth out of trouble, and the wicked shall come in his steade.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 9] An hypocrite with his mouth hurteth his neighbour: but the righteous shall be deliuered by knowledge.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 10] In the prosperitie of the righteous the citie reioyceth, and when the wicked perish, there is ioye.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the righteous, the citie is exalted: but it is subuerted by the mouth of the wicked.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his neighbour, is destitute of wisedome: but a man of vnderstanding will keepe silence.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 13] Hee that goeth about as a slanderer, discouereth a secret: but hee that is of a faithfull heart concealeth a matter.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 14] Where no counsell is, the people fall: but where many counsellers are, there is health.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 15] Hee shall be sore vexed, that is suretie for a stranger, and he that hateth suretiship, is sure.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman atteineth honour, and the strong men atteine riches.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 17] Hee that is mercifull, rewardeth his owne soule: but he that troubleth his own flesh, is cruel.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked worketh a deceitful worke: but hee that soweth righteousnes, shall receiue a sure rewarde.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 19] As righteousnes leadeth to life: so hee that followeth euill, seeketh his owne death.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 20] They that are of a froward heart, are abomination to the Lord: but they that are vpright in their way, are his delite.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 21] Though hande ioyne in hande, the wicked shall not be vnpunished: but the seede of the righteous shall escape.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 22] As a iewell of golde in a swines snoute: so is a faire woman, which lacketh discretion.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous is onely good: but the hope of the wicked is indignation.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 24] There is that scattereth, and is more increased: but hee that spareth more then is right, surely commeth to pouertie.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 25] The liberall person shall haue plentie: and he that watereth, shall also haue raine.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 26] He that withdraweth the corne, the people will curse him: but blessing shalbe vpon the head of him that selleth corne.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 27] He that seeketh good things, getteth fauour: but he that seeketh euill, it shall come to him.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches, shall fall: but the righteous shall florish as a leafe.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his owne house, shall inherite the winde, and the foole shalbe seruant to the wise in heart.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruite of the righteous is as a tree of life, and he that winneth soules, is wise.
[GNV | EN | OT | Proverbs | Chapter 11 | Verse 31] Beholde, the righteous shalbe recompensed in the earth: howe much more the wicked and the sinner?
