[GNV | EN | OT | Proverbs | Chapter 16 | Verse 1] The preparations of the heart are in man: but the answere of the tongue is of the Lord.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 2] All the wayes of a man are cleane in his owne eyes: but the Lord pondereth the spirits.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 3] Commit thy workes vnto the Lord, and thy thoughts shalbe directed.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 4] The Lord hath made all things for his owne sake: yea, euen the wicked for the day of euill.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 5] All that are proude in heart, are an abomination to the Lord: though hand ioyne in hand, he shall not be vnpunished.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 6] By mercy and trueth iniquitie shalbe forgiuen, and by the feare of the Lord they depart from euill.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 7] When the wayes of a man please the Lord, he will make also his enemies at peace with him.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 8] Better is a litle with righteousnesse, then great reuenues without equitie.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 9] The heart of man purposeth his way: but the Lord doeth direct his steppes.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 10] A diuine sentence shalbe in the lips of the King: his mouth shall not transgresse in iudgement.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 11] A true weight and balance are of the Lord: all the weightes of the bagge are his worke.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 12] It is an abomination to Kings to commit wickednes: for the throne is stablished by iustice.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 13] Righteous lips are the delite of Kings, and the King loueth him that speaketh right things.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 14] The wrath of a King is as messengers of death: but a wise man will pacifie it.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 15] In the light of the Kings coutenance is life: and his fauour is as a cloude of the latter raine.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 16] Howe much better is it to get wisedome then golde? and to get vnderstanding, is more to be desired then siluer.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 17] The pathe of the righteous is to decline from euil, and hee keepeth his soule, that keepeth his way.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 18] Pride goeth before destruction, and an high minde before the fall.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 19] Better it is to be of humble minde with the lowly, then to deuide the spoyles with the proude.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 20] He that is wise in his busines, shall finde good: and he that trusteth in the Lord, he is blessed.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 21] The wise in heart shall bee called prudent: and the sweetenesse of the lippes shall increase doctrine.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 22] Vnderstading is welspring of life vnto them that haue it: and the instruction of fooles is folly.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 23] The heart of the wise guideth his mouth wisely, and addeth doctrine to his lippes.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 24] Faire wordes are as an hony combe, sweetenesse to the soule, and health to the bones.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 25] There is a way that seemeth right vnto man: but the issue thereof are the wayes of death.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 26] The person that traueileth, traueileth for himselfe: for his mouth craueth it of him.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 27] A wicked man diggeth vp euill, and in his lippes is like burning fire.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 28] A frowarde person soweth strife: and a tale teller maketh diuision among princes.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 29] A wicked man deceiueth his neighbour, and leadeth him into the way that is not good.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 30] He shutteth his eyes to deuise wickednes: he moueth his lippes, and bringeth euil to passe.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 31] Age is a crowne of glory, when it is founde in the way of righteousnes.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 32] He that is slowe vnto anger, is better then the mightie man: and hee that ruleth his owne minde, is better then he that winneth a citie.
[GNV | EN | OT | Proverbs | Chapter 16 | Verse 33] The lot is cast into the lap: but the whole disposition thereof is of the Lord.
