[GNV | EN | OT | Proverbs | Chapter 29 | Verse 1] A man that hardeneth his necke when he is rebuked, shall suddenly be destroyed and can not be cured.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous are in authoritie, the people reioyce: but when the wicked beareth rule, the people sigh.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 3] A man that loueth wisdome, reioyceth his father: but he that feedeth harlots, wasteth his substance.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 4] A King by iudgement mainteineth ye countrey: but a man receiuing giftes, destroyeth it.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that flattereth his neighbour, spreadeth a net for his steps.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of an euill man is his snare: but the righteous doeth sing and reioyce.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous knoweth the cause of the poore: but the wicked regardeth not knowledge.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 8] Scornefull men bring a citie into a snare: but wise men turne away wrath.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man contend with a foolish man, whether he be angry or laugh, there is no rest.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 10] Bloodie men hate him that is vpright: but the iust haue care of his soule.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 11] A foole powreth out all his minde: but a wise man keepeth it in till afterward.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 12] Of a prince that hearkeneth to lyes, all his seruants are wicked.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 13] The poore and the vsurer meete together, and the Lord lighteneth both their eyes.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 14] A King that iudgeth the poore in trueth, his throne shalbe established for euer.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 15] The rodde and correction giue wisdome: but a childe set a libertie, maketh his mother ashamed.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are increased, transgression increaseth: but ye righteous shall see their fall.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 17] Correct thy sonne and he will giue thee rest, and will giue pleasures to thy soule.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people decay: but he that keepeth the Lawe, is blessed.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 19] A seruant will not be chastised with words: though he vnderstand, yet he will not answere.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 20] Seest thou a man hastie in his matters? there is more hope of a foole, then of him.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 21] He that delicately bringeth vp his seruant from youth, at length he will be euen as his sone.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 22] An angrie man stirreth vp strife, and a furious man aboundeth in transgression.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 23] The pride of a man shall bring him lowe: but the humble in spirit shall enioy glory.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 24] He that is partner with a thiefe, hateth his owne soule: he heareth cursing, and declareth it not.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 25] The feare of man bringeth a snare: but he that trusteth in the Lord, shalbe exalted.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 26] Many doe seeke the face of the ruler: but euery mans iudgement commeth from the Lord.
[GNV | EN | OT | Proverbs | Chapter 29 | Verse 27] A wicked man is abomination to the iust, and he that is vpright in his way, is abomination to the wicked.
