[GNV | EN | OT | Proverbs | Chapter 18 | Verse 1] For the desire thereof hee will separate himselfe to seeke it, and occupie himselfe in all wisdome.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 2] A foole hath no delite in vnderstanding: but that his heart may be discouered.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 3] When the wicked commeth, then commeth contempt, and with the vile man reproch.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 4] The words of a mans mouth are like deepe waters, and the welspring of wisdome is like a flowing riuer.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 5] It is not good to accept the person of the wicked, to cause ye righteous to fall in iudgement.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 6] A fooles lips come with strife, and his mouth calleth for stripes.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 7] A fooles mouth is his owne destruction, and his lips are a snare for his soule.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 8] The wordes of a tale bearer are as flatterings, and they goe downe into the bowels of the belly.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 9] He also that is slouthfull in his worke, is euen the brother of him that is a great waster.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 10] The Name of the Lord is a strong tower: the righteous runneth vnto it, and is exalted.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 11] The rich mans riches are his strong citie: and as an hie wall in his imagination.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 12] Before destruction the heart of a man is hautie, and before glory goeth lowlines.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 13] He that answereth a matter before hee heare it, it is folly and shame vnto him.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 14] The spirit of a man will susteine his infirmitie: but a wounded spirit who can beare it?
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 15] A wise heart getteth knowledge, and the eare of the wise seeketh learning.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 16] A mans gift enlargeth him, and leadeth him before great men.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 17] He that is first in his owne cause, is iust: then commeth his neighbour, and maketh inquirie of him.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 18] The lot causeth contentions to cease, and maketh a partition among the mightie.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 19] A brother offended is harder to winne then a strong citie, and their contentions are like the barre of a palace.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 20] With the fruite of a mans mouth shall his belly be satisfied, and with the increase of his lips shall he be filled.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 21] Death and life are in the power of ye tongue, and they that loue it, shall eate the fruite thereof.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 22] He that findeth a wife, findeth a good thing, and receiueth fauour of the Lord.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 23] The poore speaketh with prayers: but the rich answereth roughly.
[GNV | EN | OT | Proverbs | Chapter 18 | Verse 24] A man that hath friends, ought to shew him selfe friendly: for a friend is neerer then a brother.
