[GNV | EN | OT | Proverbs | Chapter 12 | Verse 1] He that loueth instruction, loueth knowledge: but he that hateth correction, is a foole.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 2] A good man getteth fauour of the Lord: but the man of wicked immaginations will hee condemne.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 3] A man cannot be established by wickednesse: but the roote of the righteous shall not be mooued.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 4] A vertuous woman is the crowne of her husband: but she that maketh him ashamed, is as corruption in his bones.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 5] The thoughtes of the iust are right: but the counsels of the wicked are deceitfull.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 6] The talking of the wicked is to lye in waite for blood: but the mouth of the righteous will deliuer them.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 7] God ouerthroweth the wicked, and they are not: but the house of the righteous shall stand.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 8] A man shall be commended for his wisedome: but the froward of heart shalbe despised.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 9] He that is despised, and is his owne seruant, is better then he that boasteth himselfe and lacketh bread.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 10] A righteous man regardeth the life of his beast: but the mercies of the wicked are cruell.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 11] He that tilleth his lande, shalbe satisfied with bread: but he that followeth the idle, is destitute of vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 12] The wicked desireth the net of euils: but the roote of the righteous giueth fruite.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 13] The euill man is snared by the wickednesse of his lips, but the iust shall come out of aduersitie.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 14] A man shalbe satiate with good things by the fruite of his mouth, and the recompence of a mans hands shall God giue vnto him.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 15] The way of a foole is right in his owne eyes: but he that heareth counsell, is wise.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 16] A foole in a day shall be knowen by his anger: but he that couereth shame, is wise.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 17] He that speaketh trueth, will shewe righteousnes: but a false witnes vseth deceite.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 18] There is that speaketh wordes like the prickings of a sworde: but the tongue of wise men is health.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 19] The lip of trueth shall be stable for euer: but a lying tongue varieth incontinently.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 20] Deceite is in the heart of them that imagine euill: but to the counsellers of peace shall be ioye.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 21] There shall none iniquitie come to the iust: but the wicked are full of euill.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 22] The lying lips are an abomination to the Lord: but they that deale truely are his delite.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 23] A wise man concealeth knowledge: but the heart of the fooles publisheth foolishnes.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 24] The hand of the diligent shall beare rule: but the idle shalbe vnder tribute.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 25] Heauines in the heart of man doeth bring it downe: but a good worde reioyceth it.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 26] The righteous is more excellent then his neighbour: but the way of the wicked will deceiue them.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 27] The deceitfull man rosteth not, that hee tooke in hunting: but the riches of the diligent man are precious.
[GNV | EN | OT | Proverbs | Chapter 12 | Verse 28] Life is in the way of righteousnesse, and in that path way there is no death.
