[GNV | EN | OT | Proverbs | Chapter 27 | Verse 1] Boast not thy selfe of to morowe: for thou knowest not what a day may bring forth.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 2] Let another man prayse thee, and not thine owne mouth: a stranger, and not thine owne lips.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 3] A stone is heauie, and the sand weightie: but a fooles wrath is heauier then them both.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 4] Anger is cruell, and wrath is raging: but who can stand before enuie?
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 5] Open rebuke is better then secret loue.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 6] The wounds of a louer are faithful, and the kisses of an enemie are pleasant.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 7] The person that is full, despiseth an hony combe: but vnto the hungry soule euery bitter thing is sweete.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 8] As a bird that wandreth from her nest, so is a man that wandreth from his owne place.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 9] As oyntment and perfume reioyce the heart, so doeth the sweetenes of a mans friend by hearty counsell.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 10] Thine owne friend and thy fathers friend forsake thou not: neither enter into thy brothers house in the day of thy calamitie: for better is a neighbour that is neere, then a brother farre off.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 11] My sonne, be wise, and reioyce mine heart, that I may answere him that reprocheth me.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 12] A prudent man seeth the plague, and hideth himselfe: but the foolish goe on still, and are punished.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 13] Take his garment that is surety for a stranger, and a pledge of him for the stranger.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 14] He that prayseth his friend with a loude voyce, rising earely in the morning, it shall be counted to him as a curse.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 15] A continual dropping in the day of raine, and a contentious woman are alike.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 16] He that hideth her, hideth the winde, and she is as ye oyle in his right hand, that vttereth it selfe.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 17] Yron sharpeneth yron, so doeth man sharpen the face of his friend.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 18] He that keepeth the fig tree, shall eate the fruite thereof: so he that waiteth vpon his master, shall come to honour.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 19] As in water face answereth to face, so the heart of man to man.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 20] The graue and destruction can neuer be full, so the eyes of man can neuer be satisfied.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 21] As is the fining pot for siluer and the fornace for golde, so is euery man according to his dignitie.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 22] Though thou shouldest bray a foole in a morter among wheate brayed with a pestell, yet will not his foolishnes depart from him.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 23] Be diligent to know ye state of thy flocke, and take heede to the heardes.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 24] For riches remaine not alway, nor the crowne from generation to generation.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 25] The hey discouereth it selfe, and the grasse appeareth, and the herbes of the mountaines are gathered.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 26] The lambes are for thy clothing, and the goates are the price of the fielde.
[GNV | EN | OT | Proverbs | Chapter 27 | Verse 27] And let the milke of the goates be sufficient for thy foode, for the foode of thy familie, and for the sustenance of thy maydes.
