[GNV | EN | OT | Proverbs | Chapter 31 | Verse 1] THE WORDS OF KING LEMUEL: The prophecie which his mother taught him.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 2] What my sonne! and what ye sonne of my wombe! and what, O sonne of my desires!
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 3] Giue not thy strength vnto women, nor thy wayes, which is to destroy Kings.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for Kings, O Lemuel, it is not for Kings to drink wine nor for princes strog drinke,
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 5] Lest he drinke and forget the decree, and change the iudgement of all the children of affliction.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 6] Giue ye strong drinke vnto him that is readie to perish, and wine vnto them that haue griefe of heart.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drinke, that he may forget his pouertie, and remember his miserie no more.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the domme in the cause of all the children of destruction.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth: iudge righteously, and iudge the afflicted, and the poore.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 10] Who shall finde a vertuous woman? for her price is farre aboue the pearles.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband trusteth in her, and he shall haue no neede of spoyle.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 12] She will doe him good, and not euill all the dayes of her life.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 13] She seeketh wooll and flaxe, and laboureth cheerefully with her handes.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the shippes of marchants: shee bringeth her foode from afarre.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 15] And she riseth, whiles it is yet night: and giueth the portion to her houshold, and the ordinarie to her maides.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 16] She considereth a field, and getteth it: and with the fruite of her handes she planteth a vineyarde.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 17] She girdeth her loynes with strength, and strengtheneth her armes.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 18] She feeleth that her marchandise is good: her candle is not put out by night.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 19] She putteth her handes to the wherue, and her handes handle the spindle.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 20] She stretcheth out her hand to the poore, and putteth foorth her hands to the needie.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 21] She feareth not the snowe for her familie: for all her familie is clothed with skarlet.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 22] She maketh her selfe carpets: fine linen and purple is her garment.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is knowen in the gates, when he sitteth with the Elders of the land.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 24] She maketh sheetes, and selleth them, and giueth girdels vnto the marchant.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and honour is her clothing, and in the latter day she shall reioyce.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 26] She openeth her mouth with wisdome, and the lawe of grace is in her tongue.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 27] She ouerseeth the wayes of her housholde, and eateth not the bread of ydlenes.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise vp, and call her blessed: her husband also shall prayse her, saying,
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 29] Many daughters haue done vertuously: but thou surmountest them all.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 30] Fauour is deceitfull, and beautie is vanitie: but a woman that feareth the Lord, she shall be praysed.
[GNV | EN | OT | Proverbs | Chapter 31 | Verse 31] Giue her of the fruite of her hands, and let her owne workes prayse her in the gates.
