[GNV | EN | OT | Proverbs | Chapter 23 | Verse 1] When thou sittest to eate with a ruler, consider diligently what is before thee,
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 2] And put the knife to thy throte, if thou be a man giuen to the appetite.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 3] Be not desirous of his deintie meates: for it is a deceiuable meate.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 4] Trauaile not too much to be rich: but cease from thy wisdome.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 5] Wilt thou cast thine eyes vpon it, which is nothing? for riches taketh her to her wings, as an eagle, and flyeth into the heauen.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 6] Eate thou not the bread of him that hath an euil eye, neither desire his deintie meates.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 7] For as though he thought it in his heart, so will hee say vnto thee, Eate and drinke: but his heart is not with thee.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 8] Thou shalt vomit thy morsels that thou hast eaten, and thou shalt lose thy sweete wordes.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 9] Speake not in the eares of a foole: for hee will despise the wisdome of thy wordes.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 10] Remooue not the ancient boundes, and enter not into the fieldes of the fatherlesse.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 11] For he that redeemeth them, is mightie: he will defend their cause against thee.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 12] Apply thine heart to instruction, and thine eares to the wordes of knowledge.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 13] Withhold not correction from the childe: if thou smite him with the rodde, he shall not die.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 14] Thou shalt smite him with the rodde, and shalt deliuer his soule from hell.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 15] My sonne, if thine heart be wise, mine heart shall reioyce, and I also.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 16] And my reynes shall reioyce, when thy lips speake righteous things.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 17] Let not thine heart bee enuious against sinners: but let it bee in the feare of the Lord continually.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 18] For surely there is an ende, and thy hope shall not be cut off.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 19] O thou my sonne, heare, and bee wise, and guide thine heart in the way.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 20] Keepe not company with drunkards, nor with gluttons.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 21] For the drunkard and the glutton shall bee poore, and the sleeper shalbe clothed with ragges.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 22] Obey thy father that hath begotten thee, and despise not thy mother when she is olde.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 23] Bye the trueth, but sell it not: likewise wisdome, and instruction, and vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 24] The father of the righteous shall greatly reioyce, and hee that begetteth a wise childe, shall haue ioy of him.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 25] Thy father and thy mother shall be glad, and she that bare thee shall reioyce.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 26] My sonne, giue mee thine heart, and let thine eyes delite in my wayes.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 27] For a whore is as a deepe ditche, and a strange woman is as a narrowe pitte.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 28] Also she lyeth in wait as for a praye, and she increaseth the transgressers among men.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 29] To whome is woe? to whome is sorowe? to whom is strife? to whom is murmuring? to whom are woundes without cause? and to whome is the rednesse of the eyes?
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 30] Euen to them that tarie long at the wine, to them that goe, and seeke mixt wine.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 31] Looke not thou vpon the wine, when it is red, and when it sheweth his colour in the cup, or goeth downe pleasantly.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 32] In the ende thereof it will bite like a serpent, and hurt like a cockatrise.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 33] Thine eyes shall looke vpon strange women, and thine heart shall speake lewde things.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 34] And thou shalt bee as one that sleepeth in the middes of the sea, and as hee that sleepeth in the toppe of the maste.
[GNV | EN | OT | Proverbs | Chapter 23 | Verse 35] They haue stricken mee, shalt thou say, but I was not sicke: they haue beaten mee, but I knew not, when I awoke: therefore will I seeke it yet still.
